language_long	mca_comma	mca_comma_remove_parenthesis	mca_ed	mca_remove_parenthesis
Dhivehi	0.8466819221967964	0.9473684210526315	0.8260869565217391	0.9496567505720824
Dzongkha	0.3604060913705584	0.3604060913705584	0.3553299492385787	0.3604060913705584
Ewe	0.12552630781813226	0.1264047496440796	0.11604519431739012	0.12392087965346985
Emilian	0.0722256664600124	0.0722256664600124	0.04091754494730316	0.045567265964042154
Modern Greek	2.123569686185319	2.125503782790073	1.9068219045711121	1.995074123830399
Emilian-Romagnol	0.041545957334737954	0.041249670792731105	0.031538056360284436	0.03779299446931788
English	0.16050903929436466	0.22020905700244914	0.00003739320206953445	0.06279841846616831
Canadian English	0.3756108860602157	0.37552261068046733	0.11634095493143952	0.12031345341137653
British English	0.3489909621152368	0.35035418236623966	0.10893188177904155	0.11459432303441347
Esperanto	0.33666238448468777	0.32734899483373087	0.29156133880347546	0.3081021097901261
Spanish	0.18723998766310462	0.19073764239898397	0.10204224685707076	0.11345633433702082
Latin American Spanish	0.6025641025641025	0.6068376068376068	0.5534188034188035	0.6089743589743589
formal Spanish	0.19444444444444445	0.19444444444444445	0.19444444444444445	0.19444444444444445
Estonian	0.2750669296583257	0.2716217029212826	0.25592268389004197	0.26288106022191093
Basque	0.25671237954040027	0.25594979966567705	0.23392142327650112	0.2417021560495035
Extremaduran	0.05283452051568847	0.052981691882027435	0.04203214222640843	0.04788956260669924
Persian	1.0455708991290917	1.0278711457382113	1.010331411473841	1.0206386368493656
Fula	0.02266906227302267	0.022745517795022745	0.01422072709201422	0.020413624374020414
Finnish	0.2842903363851581	0.2629728944014019	0.21542453976130915	0.1999091262088552
Meänkieli	0.057722364308042055	0.05779340721795965	0.04916169366297243	0.0552003410059676
Fijian	0.02177816834142055	0.021892790280059603	0.013372559507889811	0.01956214419439881
kven	0.0	0.0	0.0	0.0
Faroese	0.0522495666121219	0.05213615670009559	0.04596341720266351	0.049932764123584404
French	0.2478917302960524	0.2512094817916892	0.19915691943388059	0.21262069650823628
Louisiana French	0.1672571082435434	0.1689856455817027	0.1463866811064814	0.14991372664194721
Franco-Provençal	0.11056118999323868	0.11149976560527929	0.09684020734730674	0.10124950416501388
North Frisian	0.1820204449789537	0.17360192423331328	0.16346963319302465	0.1620414912808178
Friulian	0.11359234362538453	0.11488446989836996	0.10106718316812882	0.10597475200145837
West Frisian	0.13845000576634758	0.13272210048821742	0.1188828662591781	0.11828701034098335
Irish	0.03190910793755369	0.03205445776377737	0.028263607650124985	0.029844807774660916
Gagauz	0.024410839026636984	0.024525984493743762	0.016081983572580026	0.022184693329239273
Gan	0.7331378299120235	0.6744868035190615	0.7067448680351907	0.6686217008797654
simplified Gan	0.4067357512953368	0.3626943005181347	0.38341968911917096	0.3601036269430052
traditional Gan	0.41534391534391535	0.3888888888888889	0.3941798941798942	0.3835978835978836
Guianan Creole	0.8888888888888888	0.8492063492063492	0.8492063492063492	0.8571428571428571
Scottish Gaelic	0.14146306461450148	0.1425690996240062	0.11632045348545188	0.12178898424270257
Galician	0.24018278912318042	0.24773378982570948	0.1732957418224018	0.19163530689240887
Gilaki	0.8982558139534884	0.9011627906976745	0.8546511627906976	0.8953488372093024
Guarani	0.028585566382460414	0.0283952496954933	0.020744518879415346	0.02664433617539586
Goan Konkani	0.951304347826087	0.96	0.9026086956521739	1.1721739130434783
Goan Konkani in Devanagari script	0.45077720207253885	0.45077720207253885	0.44041450777202074	0.8082901554404145
Goan Konkani in Latin script	0.10933333333333334	0.11	0.102	0.10933333333333334
Gorontalo	0.05402333686922261	0.054591604788604337	0.04193817245037127	0.05209122594332475
Gothic	0.02132005617260309	0.021617941188986765	0.015064470828545895	0.02149027618196519
Ancient Greek	1.581573896353167	1.6026871401151632	1.5566218809980805	1.5892514395393473
Alemannic	0.2129787523407995	0.21009766023444734	0.18336698505026836	0.1857427565608114
Gujarati	1.2644050885507607	1.2748815165876777	1.1915689698179097	1.2606635071090047
Manx	0.034717006895610025	0.03393186318017342	0.027104526524202907	0.03198607223322182
Hausa	0.05313153061870686	0.05211829523146096	0.041637641694636185	0.049268570704831864
