language_long	mca_baseline
Lojban	0.02671682469003109
Jutlandic	0.07213930348258707
Javanese	0.05453920220082531
Georgian	1.924376865370654
Karakalpak	0.025789813023855575
Kabyle	0.11384332798675428
Kabardian	0.7280453257790368
Kabardian in Cyrillic script	0.0903954802259887
Kabiye	0.43283582089552236
Cape Verdean Creole	0.05070422535211268
Kongo	0.09933724673357319
Khowar	0.12849162011173185
Gikuyu	0.01877332089552239
Kirmanjki	0.08465608465608465
Kwanyama	0.018259675204007432
Eastern Pwo	1.0
Kazakh	2.293241423025117
Kazakh Arabic alphabets	2.557823129251701
Kazakh in China	2.3808080808080807
Kazakh in Cyrillic script	2.2971725331794577
Kazakh in Kazakhstan	1.5578279266572637
Kazakh in Latin script	0.13446407363420426
Kazakh in Turkey	0.08810448002587741
Greenlandic	0.034632862951447026
Khmer	1.2328605200945626
Kannada	1.5864670380687094
Korean	1.347319802237835
North Korean standard language	0.1134020618556701
Permyak	1.8021582733812949
Kanuri	0.018368994751715786
Karachay-Balkar	1.2166666666666666
Krio	0.08011049723756906
Kinaray-a	0.014384793218597482
Karelian	0.05357142857142857
Kashmiri	0.7859531772575251
Kashmiri in Arabic script	0.11864406779661017
Kashmiri in Devanagari script	0.11797752808988764
Ripuarian	0.03901121444201313
Kurdish	0.11180601272767171
Kurdish Arabic alphabet	0.9038461538461539
Kurdish in Latin script	0.0360733779291665
Kumyk	0.0
Komi	3.2613636363636362
Cornish	0.031056649256729612
Kyrgyz	4.467225381622269
Latin	0.7361236394251007
Judaeo-Spanish	0.03438282647584973
Luxembourgish	0.1507861866274798
Lak	0.7400881057268722
Lezgian	1.3827655310621243
Lingua Franca Nova	0.035008919469928644
Luganda	0.018547587574355585
Limburgish	0.11480992972025907
Ligurian	0.11077636851143313
Livonian	0.08908973531310523
Laki	0.05224787363304982
Ladin	0.6291390728476821
Lombard	0.17057764686630666
Lingala	0.03235771713731237
Lao	0.06105107601366953
Lozi	0.01411420456990404
Northern Luri	0.9634464751958225
Lithuanian	0.2546614516190967
Latgalian	0.022834741138907974
Mizo	0.014076019112392923
Southern Luri	0.017297006632012904
Latvian	0.3319029507059805
Classical Chinese	0.6713040070539825
Laz	0.013885295385942216
Madurese	0.019867549668874173
Maithili	1.0955013822568485
Banyumasan	0.024640439932318105
Moksha	1.709090909090909
Malagasy	0.1342825300793777
Marshallese	0.017749911691981632
Meadow Mari	1.5679347826086956
Māori	0.023529411764705882
Minangkabau	0.07718861664114345
Macedonian	1.2644247183339024
Malayalam	1.461380948480629
Mongolian	1.127433090024331
Meitei	1.8333333333333333
Mon language spelling	1.690909090909091
Moldovan	0.027350273051405877
Marathi	1.4755864219403303
Hill Mari	3.113871635610766
Malay	0.1501923646049127
Maltese	0.2081768394579659
Muscogee	0.018996900087433433
Mirandese	0.0570602719194947
Burmese	0.24122678906738995
Erzya	1.7868535524407927
Mazanderani	1.723064317902499
Nauruan Wikiquote	0.019802770790913082
Nahuatl	0.041603658761479735
Southern Min	1.276082327892122
Neapolitan	0.10305026340065107
Bokmål	0.2386726223255624
Low German	0.15424177933567018
Dutch Low Saxon	0.16733651999435484
Nepali	1.3258659040355893
Newar	1.5295748613678373
Ndonga	0.01829911547512781
Nias	0.0
Niuean	0.08923076923076922
Dutch	0.18083750374267504
informal Dutch	0.16666666666666666
Nynorsk	0.14776498076929845
Norwegian	0.0979381443298969
Northern Thai	0.11176470588235295
Novial	0.028455904790967348
N'Ko	2.3916349809885933
Norman	0.10160173437371363
Northern Sotho	0.02012421358283594
Navajo	0.02237091378128905
Chewa	0.020871947779837214
Noongar	0.07908745247148288
Occitan	0.12837182743381256
Livvi-Karelian	0.1748610517315092
Oromo	0.020380049430736194
Odia	1.3073972602739725
Ossetian	5.0
Ottoman Turkish	0.3891625615763547
Eastern Punjabi	1.0973811833171678
Pangasinan	0.022610768925094376
Kapampangan	0.030564859926918393
Papiamento	0.11843133170147388
Picard	0.10420593779453347
Pennsylvania German	0.03421954004240744
Plautdietsch	0.01977661235437768
Palatinate German	0.1822896900695762
Pali	0.13966800228963938
Pitkern	0.02002622481821433
Polish	0.4185320517040841
Piedmontese	0.14299302699803326
Western Punjabi	2.23744769874477
Pontic Greek	0.12235817575083426
Old Prussian	0.11201159295835122
Pashto	2.17478354978355
Portuguese	0.2809746807031613
Brazilian Portuguese	0.28616637944540185
Quechua	0.17848220369228773
Kichwa	0.01599110655036771
Romagnol	0.15233144895094283
Riffian	0.014340139548820683
Romansh	0.0874750280173464
Finnish Kalo	0.0829103214890017
Romani	0.02062179009683616
Kirundi	0.018328298086606243
Romanian	0.32106703370528766
Tarantino	0.020877241818109515
Russian	4.146837708830549
Rusyn	0.9278350515463918
Aromanian	0.02551949036857273
Megleno-Romanian	0.04574132492113565
Megleno-Romanian in Cyrillic script	0.08465608465608465
Megleno-Romanian in Latin script	0.017813567593948268
Kinyarwanda	0.02140942014486374
Marwari (India)	0.04938271604938271
Sanskrit	1.7558441558441558
Sakha	3.575980392156863
Santali	0.061057516180241786
Sardinian	0.10245924519874944
Sicilian	0.11628215816616375
Scots	0.18569046536304382
Sindhi	2.3323550990462216
Sassarese	0.014741910957168201
Southern Kurdish	0.033112582781456956
Northern Sami	0.03885459462807358
Seri	0.01711284310403253
Koyraboro Senni	0.030303030303030304
Sango	0.018284561049445005
Samogitian	0.05740537144652112
Serbo-Croatian	0.44315729124510994
Tashelhit	0.0594855305466238
Tachelhit in Latin script	0.018020583329943458
Tachelhit in Tifinagh script	0.0903954802259887
Shan	0.4604651162790698
Shawiya in Latin script	0.8888888888888888
Sinhala	2.2218080149114634
Simple English	0.09016751638747268
Kildin Sami	0.34355828220858897
Pite Sami	0.03442089920394663
Ume Sami	0.12033898305084746
Slovak	0.18072206190975865
Saraiki	4.458333333333333
Saraiki in Arabic script	2.6666666666666665
Slovene	0.1552031639828813
Silesian German	0.014855687606112054
Samoan	0.021246629914289165
Southern Sami	0.025398037858353425
Lule Sami	0.03857442348008386
Inari Sami	0.21212121212121213
Skolt Sami	0.16736990154711673
Shona	0.020139426800929512
Somali	0.04505103437487779
Albanian	0.03879572537815353
Serbian	1.1991478066499022
Serbian written in Cyrillic	1.1438065349824627
Serbian written in Latin script	0.19010671228413165
Sranan Tongo	0.04316334072431634
Sirionó	0.06490872210953347
Swazi	0.021954519663043952
Sesotho	0.021405750798722045
Saterland Frisian	0.03759348950611183
Siberian Tatar	0.5
Sundanese	0.030636272226252752
Swedish	0.23437503336956825
Swahili	0.13666950926428406
Silesian	0.0359541130386122
Sakizaya	0.3017656500802568
Tamil	1.6821395386417808
Atayal	0.0
Tulu	1.3254113345521024
Telugu	2.05144318597004
Tetum	0.03469942603967375
Tajik	0.7254436364407318
Tajik in Cyrillic script	0.44982698961937717
Tajik in Latin script	0.04685253235341109
Thai	2.7279748608639687
Tigrinya	1.1515151515151516
Turkmen	0.05805946146550658
Tagalog	0.1078708548757439
Talysh	0.08791208791208792
Tswana	0.021297153669632432
Tongan	0.040051112087209996
Tok Pisin	0.01975242607167418
Turkish	0.2826897196496774
Turoyo	0.013931421177485442
Tsonga	0.018940920448134117
Tatar	0.458068947471708
Tatar in Cyrillic script	0.5928659286592866
Tatar in Latin script	0.01857874623953167
Tumbuka	0.019225354945099145
Twi	0.020703210307927496
Tahitian	0.046554115776296645
Tuvan	4.977777777777778
Central Atlas Tamazight	0.75
Udmurt	3.529284164859002
Uyghur	1.4570259208731242
Uyghur Arabic alphabet	0.4472573839662447
Uyghur Latin alphabet	0.018294914013904134
Ukrainian	3.0841857766649365
Urdu	2.2303393827540243
Uzbek	0.590382876092855
Uzbek Cyrillic alphabet	0.0
Uzbek Latin alphabet	1.0
Venda	0.019543452142571086
Venetian	0.12703621149559688
Veps	0.17135758375713342
Vietnamese	0.403182685448841
West Flemish	0.11183857704683589
Main-Franconian	0.11558245836914148
Volapük	0.10045690905977668
Votic	0.017994124367553453
Võro	0.7440944881889764
Walloon	0.13433847929591688
Waray	0.052453202854962515
Wolof	0.0988875972289168
Wu Chinese	1.3483365949119375
Kalmyk Oirat	1.6356589147286822
Xhosa	0.024144471666798388
Mingrelian	0.8389045509464358
Yiddish	1.4674434544208361
Yoruba	0.09543877755798286
Cantonese	1.2085322454648033
Zhuang	0.022454666612818544
Zeelandic	0.049245276840967876
Standard Moroccan Berber	0.5
Chinese	1.0423517839528516
Putonghua	1.6502023711450984
Simplified Chinese	1.5207735904441484
Traditional Chinese	0.8811144004806392
Chinese (Hong Kong)	1.3399345000511718
Chinese in Macau	1.0318942045896538
Malaysian Mandarin	0.9640787949015064
Singaporean Mandarin	1.3709627329192546
Taiwanese Mandarin	1.4486003110419907
Zulu	0.09859851915481649
[compute_crossing_alignments] Number of permuted / surviving words per language:
