language_long	mca_edit_distance
Crimean Tatar	1.0398406374501992
Crimean Tatar Cyrillic alphabet	0.10869565217391304
Crimean Tatar Latin alphabet	0.02832611445436774
Czech	0.396660613897938
Kashubian	0.024519820187985288
Old Church Slavonic	0.016044793676186893
Chuvash	2.590351812366738
Welsh	0.08401997715095168
Danish	0.22402637585753654
Dagbani	0.10687022900763359
German	0.1653706308377631
Austrian German	0.10032950036984735
Swiss Standard German	0.15626068920344965
formal address in German	0.5454545454545454
Dinka	0.1976190476190476
Zazaki	0.057802237898321576
Lower Sorbian	0.16151795515132508
Kadazandusun	0.00834189439079515
Doteli	0.90625
Dhivehi	0.8260869565217391
Dzongkha	0.3553299492385787
Ewe	0.11604519431739012
Emilian	0.04091754494730316
Modern Greek	1.9068219045711121
Emilian-Romagnol	0.031538056360284436
English	3.739320206953445e-05
Canadian English	0.11634095493143952
British English	0.10893188177904155
Esperanto	0.29156133880347546
Spanish	0.10204224685707076
Latin American Spanish	0.5534188034188035
formal Spanish	0.19444444444444445
Estonian	0.25592268389004197
Basque	0.23392142327650112
Extremaduran	0.04203214222640843
Persian	1.010331411473841
Fula	0.01422072709201422
Finnish	0.21542453976130915
Meänkieli	0.04916169366297243
Fijian	0.013372559507889811
kven	0.0
Faroese	0.04596341720266351
French	0.19915691943388059
Louisiana French	0.1463866811064814
Franco-Provençal	0.09684020734730674
North Frisian	0.16346963319302465
Friulian	0.10106718316812882
West Frisian	0.1188828662591781
Irish	0.028263607650124985
Gagauz	0.016081983572580026
Gan	0.7067448680351907
simplified Gan	0.38341968911917096
traditional Gan	0.3941798941798942
Guianan Creole	0.8492063492063492
Scottish Gaelic	0.11632045348545188
Galician	0.1732957418224018
Gilaki	0.8546511627906976
Guarani	0.020744518879415346
Goan Konkani	0.9026086956521739
Goan Konkani in Devanagari script	0.44041450777202074
Goan Konkani in Latin script	0.102
Gorontalo	0.04193817245037127
Gothic	0.015064470828545895
Ancient Greek	1.5566218809980805
Alemannic	0.18336698505026836
Gujarati	1.1915689698179097
Manx	0.027104526524202907
Hausa	0.041637641694636185
Hakka	0.055416222901707494
Hawaiian	0.025850875467243753
Hebrew	1.3679316125215228
Hindi	1.4575122240331901
Fiji Hindi	0.040659790743567785
Fiji Hindi in Latin script	0.011785825788323446
Hiligaynon	0.02869757174392936
Hiri Motu	0.012599160055996267
Croatian	0.24046232380647933
Hunsrik	0.08201523140011717
Upper Sorbian	0.15823035936968596
Haitian Creole	0.077563836412705
Hungarian	0.25614100928853806
formal Hungarian	0.0
Armenian	1.1577397017319289
Western Armenian	1.411685393258427
Herero	0.012079647741885205
Interlingua	0.10052606579855354
Indonesian	0.18230896314143916
Interlingue	0.09636571305231538
Igbo	0.019461133021267184
Nuosu	0.11797752808988764
Inupiat	0.012089407191448008
Eastern Canadian (Aboriginal syllabics)	0.05073649754500818
Eastern Canadian in Latin script	0.011982144255619078
Ilocano	0.033164735258339205
Ingush	0.6651376146788991
Ido	0.1211139896373057
Icelandic	0.1570423228719254
Italian	0.22759460951985
Inuktitut	0.011435449894673488
Japanese	1.5874741234277492
Jamaican Creole	0.10748743913307415
Lojban	0.02042148094123066
Jutlandic	0.07213930348258707
Javanese	0.047925263640531866
Georgian	1.837259014277648
Karakalpak	0.017673607160465735
Kabyle	0.10969110570704196
Kabardian	0.6062322946175638
Kabardian in Cyrillic script	0.0903954802259887
Kabiye	0.382089552238806
Cape Verdean Creole	0.05070422535211268
Kongo	0.09557848892255255
Khowar	0.12849162011173185
Gikuyu	0.012554415422885571
Kirmanjki	0.08465608465608465
Kwanyama	0.012159650965500526
Eastern Pwo	1.1666666666666667
Kazakh	1.7501782743047303
Kazakh Arabic alphabets	2.034632034632035
Kazakh in China	1.8111111111111111
Kazakh in Cyrillic script	1.6745527986151183
Kazakh in Kazakhstan	1.120592383638928
Kazakh in Latin script	0.09308194774346794
Kazakh in Turkey	0.05786026200873363
Greenlandic	0.030710356374073187
Khmer	1.202127659574468
Kannada	1.514275766016713
Korean	0.9685873666406454
North Korean standard language	0.10824742268041238
Permyak	0.7877697841726619
Kanuri	0.01227291077916835
Karachay-Balkar	0.5875
Krio	0.08011049723756906
Kinaray-a	0.00830550560835688
Karelian	0.05357142857142857
Kashmiri	0.7792642140468228
Kashmiri in Arabic script	0.11864406779661017
Kashmiri in Devanagari script	0.11797752808988764
Ripuarian	0.03176285557986871
Kurdish	0.10207739009582327
Kurdish Arabic alphabet	0.8664529914529915
Kurdish in Latin script	0.02987647227808101
Kumyk	0.0
Komi	1.2897727272727273
Cornish	0.024989955805544396
Kyrgyz	1.9778509428314877
Latin	0.7094082626736424
Judaeo-Spanish	0.027262969588550984
Luxembourgish	0.14621111927504285
Lak	0.3788546255506608
Lezgian	1.0711422845691383
Lingua Franca Nova	0.029274974515800203
Luganda	0.011938202247191011
Limburgish	0.11070863764920501
Ligurian	0.10662639713192541
Livonian	0.08327953518398967
Laki	0.05224787363304982
Ladin	0.3708609271523179
Lombard	0.16218294878088693
Lingala	0.023050417838330232
Lao	0.05380068347649395
Lozi	0.008003786737811438
Northern Luri	0.9973890339425587
Lithuanian	0.24687727998332354
Latgalian	0.016449096714222206
Mizo	0.007963497051353794
Southern Luri	0.007348987273704965
Latvian	0.31669971717434414
Classical Chinese	0.6686367198981091
Laz	0.007761966364812419
Madurese	0.019867549668874173
Maithili	1.0932395074139232
Banyumasan	0.01924703891708968
Moksha	0.6327272727272727
Malagasy	0.12730002046989788
Marshallese	0.01130342635111268
Meadow Mari	0.7880434782608695
Māori	0.019167217448777262
Minangkabau	0.07287519142419602
Macedonian	1.2777398429498121
Malayalam	1.430706855598329
Mongolian	0.8730231143552312
Meitei	1.8333333333333333
Mon language spelling	1.4363636363636363
Moldovan	0.01963262174482105
Marathi	1.4381688044787755
Hill Mari	1.5631469979296067
Malay	0.1355571527219944
Maltese	0.1978358344777379
Muscogee	0.012995787298306971
Mirandese	0.049352317739000104
Burmese	0.21372835384936364
Erzya	0.5166747220879652
Mazanderani	1.6956165505940188
Nauruan Wikiquote	0.013774104683195593
Nahuatl	0.03566554789215506
Southern Min	0.8797019162526615
Neapolitan	0.09910115957276491
Bokmål	0.23078667727263455
Low German	0.14883088521671395
Dutch Low Saxon	0.1619736026655049
Nepali	1.290276453765491
Newar	1.466728280961183
Ndonga	0.012172360626470827
Nias	0.0
Niuean	0.08923076923076922
Dutch	0.17129734615414283
informal Dutch	0.16666666666666666
Nynorsk	0.14276581943667357
Norwegian	0.0979381443298969
Northern Thai	0.11176470588235295
Novial	0.022581629539212694
N'Ko	2.338403041825095
Norman	0.09797016072228981
Northern Sotho	0.013429585417002742
Navajo	0.01588133338707727
Chewa	0.01478765412200822
Noongar	0.07401774397972116
Occitan	0.12387506617257808
Livvi-Karelian	0.1611799914493373
Oromo	0.014261982901827317
Odia	1.2863561643835617
Ossetian	2.176470588235294
Ottoman Turkish	0.3793103448275862
Eastern Punjabi	1.0705140640155189
Pangasinan	0.016133518776077885
Kapampangan	0.02363733252131547
Papiamento	0.11443414405499713
Picard	0.0999720193213949
Pennsylvania German	0.028086772141575598
Plautdietsch	0.013691500860723007
Palatinate German	0.174573055028463
Pali	0.1307956496851746
Pitkern	0.014026304287360432
Polish	0.39971909495907126
Piedmontese	0.13836581441087073
Western Punjabi	2.1644874476987446
Pontic Greek	0.12235817575083426
Old Prussian	0.10838879347359381
Pashto	2.0562770562770565
Portuguese	0.2657926907663778
Brazilian Portuguese	0.27000887774818527
Quechua	0.1705330780961033
Kichwa	0.009449290234308192
Romagnol	0.14994119209318207
Riffian	0.008218826248876333
Romansh	0.08408858354041807
Finnish Kalo	0.0676818950930626
Romani	0.014113772689849846
Kirundi	0.012245720040281974
Romanian	0.3095184256664864
Tarantino	0.01475325088479739
Russian	1.5266223434481192
Rusyn	0.8505154639175257
Aromanian	0.01949036857272865
Megleno-Romanian	0.04574132492113565
Megleno-Romanian in Cyrillic script	0.08465608465608465
Megleno-Romanian in Latin script	0.011672360501057426
Kinyarwanda	0.014606426827804234
Marwari (India)	0.04938271604938271
Sanskrit	1.6593073593073593
Sakha	1.6748366013071896
Santali	0.04701428745878618
Sardinian	0.09856520768200089
Sicilian	0.11156033967581765
Scots	0.17974837047142642
Sindhi	2.2164343360234775
Sassarese	0.00874376953620005
Southern Kurdish	0.033112582781456956
Northern Sami	0.034333257633627184
Seri	0.009996611318197221
Koyraboro Senni	0.030303030303030304
Sango	0.01218970736629667
Samogitian	0.04884561017747762
Serbo-Croatian	0.43357952246054227
Tashelhit	0.0594855305466238
Tachelhit in Latin script	0.011878127161046251
Tachelhit in Tifinagh script	0.0903954802259887
Shan	0.44651162790697674
Shawiya in Latin script	0.2222222222222222
Sinhala	2.050326188257223
Simple English	0.08361252731245448
Kildin Sami	0.4110429447852761
Pite Sami	0.03223455544343536
Ume Sami	0.08644067796610169
Slovak	0.17295710912906612
Saraiki	4.041666666666667
Saraiki in Arabic script	2.3333333333333335
Slovene	0.14815207395474816
Silesian German	0.008828522920203734
Samoan	0.01472777755422317
Southern Sami	0.02076719260974387
Lule Sami	0.035849056603773584
Inari Sami	0.16287878787878787
Skolt Sami	0.1209563994374121
Shona	0.013787761425251743
Somali	0.03750342184505886
Albanian	0.03622152798222894
Serbian	1.204153860482444
Serbian written in Cyrillic	1.1656821118700387
Serbian written in Latin script	0.18309099055066796
Sranan Tongo	0.03640059127864006
Sirionó	0.06490872210953347
Swazi	0.015582034830430797
Sesotho	0.014696485623003195
Saterland Frisian	0.031794669038911406
Siberian Tatar	0.5
Sundanese	0.02546870823628241
Swedish	0.22336147411268983
Swahili	0.12833552988603766
Silesian	0.029273922775601566
Sakizaya	0.27447833065810595
Tamil	1.6349937381327515
Atayal	0.0
Tulu	1.3491773308957953
Telugu	1.9470953598830836
Tetum	0.026583425636894573
Tajik	0.786058049059724
Tajik in Cyrillic script	0.42214532871972316
Tajik in Latin script	0.03938328806518613
Thai	2.6799681974785146
Tigrinya	1.1818181818181819
Turkmen	0.043668302338047915
Tagalog	0.09328189187922713
Talysh	0.08791208791208792
Tswana	0.01541930029389267
Tongan	0.034141277003553884
Tok Pisin	0.013715901276075495
Turkish	0.2506089559497407
Turoyo	0.007806771619581626
Tsonga	0.012815346175546062
Tatar	0.44128998495453653
Tatar in Cyrillic script	0.6076260762607626
Tatar in Latin script	0.012440035775266282
Tumbuka	0.01315207336202389
Twi	0.014282594452937322
Tahitian	0.04273099434990019
Tuvan	1.9005291005291005
Central Atlas Tamazight	0.5
Udmurt	1.5726681127982647
Uyghur	1.3178717598908596
Uyghur Arabic alphabet	0.270042194092827
Uyghur Latin alphabet	0.012155953978127415
Ukrainian	1.9703929890989038
Urdu	2.1616938377934996
Uzbek	0.2745251733494121
Uzbek Cyrillic alphabet	0.0
Uzbek Latin alphabet	1.0
Venda	0.013496195434521427
Venetian	0.12238096978112326
Veps	0.046042160021739977
Vietnamese	0.25546154158426754
West Flemish	0.10790579191991419
Main-Franconian	0.11142248626835556
Volapük	0.09681605580238457
Votic	0.011832870899298189
Võro	0.17060367454068243
Walloon	0.12969989900447265
Waray	0.045719800691295956
Wolof	0.09526779891689585
Wu Chinese	1.336800906375528
Kalmyk Oirat	0.6395348837209303
Xhosa	0.018098474670038726
Mingrelian	0.8300443012484897
Yiddish	1.3999314599040438
Yoruba	0.08133367736016743
Cantonese	1.1896970749066922
Zhuang	0.015871733774887927
Zeelandic	0.04295864575488687
Standard Moroccan Berber	0.5
Chinese	1.0323344044694838
Putonghua	1.6343171317024248
Simplified Chinese	1.5038273082394382
Traditional Chinese	0.8750465120078122
Chinese (Hong Kong)	1.3212311943506294
Chinese in Macau	1.0112796577207313
Malaysian Mandarin	0.9497875627655465
Singaporean Mandarin	1.356159420289855
Taiwanese Mandarin	1.4285381026438568
Zulu	0.09478903091474403
