language_long	mca_baseline	mca_comma	mca_edit_distance	mca_remove_parenthesis	mca_comma_remove_parenthesis	max_diff
Swiss Standard German	0.0	0.027502638186383294	-0.009824969979258413	-0.003259249471200404	0.024578368065406975	0.027502638186383294
Burmese	0.0	0.0011266430210724043	-0.027498435218026307	-0.0010849155017733925	0.0005841852701856942	0.027498435218026307
Mazanderani	0.0	0.007374027038099085	-0.027447767308480087	0.010241704219582148	0.025399426464563835	0.027447767308480087
Egyptian Arabic	0.0	0.0022700001237057066	-0.017646622215074848	-0.02738999468065373	-0.025761718025161806	0.02738999468065373
Sakizaya	0.0	0.011235955056179803	-0.027287319422150902	0.008025682182985605	0.008025682182985605	0.027287319422150902
Bokmål	0.0	0.026908156397234262	-0.007885945052927917	-0.010243546938281112	0.018008327056190765	0.026908156397234262
Eastern Punjabi	0.0	0.00921435499515022	-0.02686711930164898	-0.009505334626576323	0.0008729388942774197	0.02686711930164898
Japanese	0.0	0.016313280470808156	-0.01748728520560161	-0.026857781712668505	-0.01005335797666218	0.026857781712668505
Latin	0.0	0.006314270250766696	-0.026715376751458297	0.003683324312947267	0.010147934331589337	0.026715376751458297
Lithuanian	0.0	0.026704261820256425	-0.0077841716357731905	-0.0037124247830315205	0.02344181127779399	0.026704261820256425
Emilian	0.0	0.0266584004959703	-0.004649721016739002	0.0	0.0266584004959703	0.0266584004959703
Esperanto	0.0	0.01863900285018344	-0.026462042831028876	-0.009921271844378188	0.009325613199226535	0.026462042831028876
Tatar	0.0	0.025609995420945886	-0.016778962517171536	6.541505854640306e-05	0.02593707071367829	0.02593707071367829
Persian	0.0	0.009432816681804956	-0.02578724189686099	-0.01548001652133646	-0.008247507632490825	0.02578724189686099
Arabic	0.0	0.0033782755577198564	-0.025572937273640406	-0.01575387284292562	-0.011053580667741869	0.025572937273640406
Romanian	0.0	0.025217519539890876	-0.0115486080388012	-0.0020995953810866164	0.023642349405637086	0.025217519539890876
Indonesian	0.0	0.024332212954616295	-0.013387576195247497	-0.008387132815457499	0.01628362218605059	0.024332212954616295
Alemannic	0.0	0.02400431020954738	-0.005607457080983813	-0.0032316855704407066	0.021123218103195174	0.02400431020954738
Kotava	0.0	0.0017452006980802626	-0.023560209424083767	-0.00610820244328103	-0.0043630017452007674	0.023560209424083767
Scottish Gaelic	0.0	0.02051447637498649	-0.00462813475406311	0.0008403960031875962	0.02162051138449131	0.02162051138449131
Bavarian	0.0	0.021074487653518104	-0.005639062819345592	-0.000849448193534108	0.0202901680325496	0.021074487653518104
Odia	0.0	0.006904109589041196	-0.021041095890410588	0.010520547945205738	0.01753424657534275	0.021041095890410588
Bosnian	0.0	0.02012354513194209	-0.011668151350088307	1.460344349199505e-05	0.02050323466273349	0.02050323466273349
Louisiana French	0.0	0.018594320747443993	-0.0022761063896180045	0.0012509391458477848	0.0203228580856033	0.0203228580856033
Romagnol	0.0	0.018116629358424702	-0.002390256857760814	0.0012928941902178026	0.019922074847740584	0.019922074847740584
Serbo-Croatian	0.0	0.018801429920410118	-0.009577768784567675	-0.006559422635909806	0.01158437879401053	0.018801429920410118
Sorani	0.0	0.0087301587301587	-0.018650793650793585	0.013888888888889062	0.018650793650793807	0.018650793650793807
Slovene	0.0	0.017407352321978792	-0.0070510900281332	0.000573136729559498	0.01856032913465988	0.01856032913465988
Picard	0.0	0.0168399505183789	-0.00423391847313849	0.0010095518341308035	0.018070528072469005	0.018070528072469005
Awadhi	0.0	0.0036101083032490378	0.0072202166064981865	-0.018050541516245522	-0.018050541516245522	0.018050541516245522
Doteli	0.0	0.00520833333333337	0.00347222222222221	0.01215277777777779	0.01736111111111105	0.01736111111111105
Simplified Chinese	0.0	0.014202813466705821	-0.016946282204710172	6.773996883957523e-05	0.014801183191455625	0.016946282204710172
Tagalog	0.0	0.015682354227519	-0.014588962996516797	-0.0010152918573593933	0.015588634979147406	0.015682354227519
Balinese	0.0	0.0015649452269170805	-0.01564945226917064	-0.006259780907668211	-0.004694835680751186	0.01564945226917064
Atikamekw	0.0	0.015424164524421607	0.0	0.0	0.015424164524421607	0.015424164524421607
Breton	0.0	0.014996029407997602	-0.006916515101058007	2.1468625752613102e-05	0.015283990143909798	0.015283990143909798
Finnish Kalo	0.0	0.0	-0.01522842639593909	0.0	0.0	0.01522842639593909
Latvian	0.0	0.01017522187185066	-0.01520323353163644	0.0007043550816509536	0.011139646522111246	0.01520323353163644
Singaporean Mandarin	0.0	0.01413043478260878	-0.014803312629399601	-0.0038819875776396895	0.010817805383022794	0.014803312629399601
Malay	0.0	0.014360405304471607	-0.014635211882918303	-0.00022442559831029052	0.014220637361025107	0.014635211882918303
Turkmen	0.0	0.0007010020205353018	-0.0143911591274586	0.00024741247783600234	0.0009071790853985989	0.0143911591274586
Papiamento	0.0	0.012720691630644293	-0.003997187646476691	0.001225452538725108	0.014349939863438993	0.014349939863438993
Occitan	0.0	0.01306796890334938	-0.004496761261234508	0.0010119460613099984	0.014341710515271389	0.014341710515271389
Jamaican Creole	0.0	0.013109799413611012	-0.0038619015021375963	0.000866825312451705	0.0143384483653307	0.0143384483653307
Bambara	0.0	0.013021850665416612	-0.003581008932989488	0.0009129575023101993	0.014286572284907609	0.014286572284907609
Main-Franconian	0.0	0.012766381447022704	-0.004159972100785891	0.0010601283187820082	0.014187868454294192	0.014187868454294192
Kabyle	0.0	0.012935271899415401	-0.004152222279712306	0.0008810824806032014	0.014178714001681497	0.014178714001681497
Santali	0.0	-0.005128831359140301	-0.014043228721455601	-0.001994545528554506	-0.006919851833760704	0.014043228721455601
Old Prussian	0.0	0.012706633748389803	-0.003622799484757397	0.0009139239684001071	0.014009848935190694	0.014009848935190694
West Frisian	0.0	0.0139545611809479	-0.005612578326221501	-0.006208434244416305	0.008226655902817792	0.0139545611809479
Basque	0.0	0.013951074870274222	-0.008828762045960004	-0.001048029272957579	0.013199614343215899	0.013951074870274222
Livvi-Karelian	0.0	0.004275331338178701	-0.013681060282171892	-0.0008550662676357901	0.0038477982043607917	0.013681060282171892
Min Dong	0.0	0.0019732098812278998	-0.013584791105377005	0.0	0.002162941600576798	0.013584791105377005
Kashmiri	0.0	0.0033444816053511683	-0.006688963210702337	0.010033444816053505	0.013377926421404673	0.013377926421404673
