language_long	num_permuted_baseline	num_surviving_baseline
Serbian	0	42948
Serbian written in Cyrillic	0	10834
Serbian written in Latin script	0	98208
Sranan Tongo	0	27060
Sirionó	0	493
Swazi	0	22911
Sesotho	0	25040
Saterland Frisian	0	30351
Siberian Tatar	0	6
Sundanese	0	78567
Swedish	0	1404723
Swahili	0	128990
Silesian	0	28592
Sakizaya	0	623
Tamil	0	24753
Atayal	0	29
Tulu	0	547
Telugu	0	13685
Tetum	0	49655
Tajik	0	47167
Tajik in Cyrillic script	0	289
Tajik in Latin script	0	25036
Thai	0	26413
Tigrinya	0	33
Turkmen	0	24251
Tagalog	0	64021
Talysh	0	182
Tswana	0	24839
Tongan	0	25043
Tok Pisin	0	26174
Turkish	0	238523
Turoyo	0	23185
Tsonga	0	24814
Tatar	0	30574
Tatar in Cyrillic script	0	813
Tatar in Latin script	0	24598
Tumbuka	0	24863
Twi	0	22895
Tahitian	0	59114
Tuvan	0	945
Central Atlas Tamazight	0	4
Udmurt	0	461
Uyghur	0	733
Uyghur Arabic alphabet	0	237
Uyghur Latin alphabet	0	24597
Ukrainian	0	163745
Urdu	0	19506
Uzbek	0	33170
Uzbek Cyrillic alphabet	0	1
Uzbek Latin alphabet	0	5
Venda	0	24970
Venetian	0	136835
Veps	0	25759
Vietnamese	0	172433
West Flemish	0	134256
Main-Franconian	0	80289
Volapük	0	110963
Votic	0	24508
Võro	0	2286
Walloon	0	138620
Waray	0	44554
Wolof	0	105807
Wu Chinese	0	9709
Kalmyk Oirat	0	258
Xhosa	0	25306
Mingrelian	0	2483
Yiddish	0	2918
Yoruba	0	34881
Cantonese	0	23042
Zhuang	0	24761
Zeelandic	0	30541
Standard Moroccan Berber	0	4
Chinese	0	723842
Putonghua	0	55838
Simplified Chinese	0	88574
Traditional Chinese	0	550933
Chinese (Hong Kong)	0	39084
Chinese in Macau	0	5142
Malaysian Mandarin	0	5178
Singaporean Mandarin	0	19320
