language_long	num_permuted_edit_distance	num_surviving_edit_distance
Tajik in Cyrillic script	2	287
Tajik in Latin script	38	24998
Thai	939	25474
Tigrinya	1	32
Turkmen	68	24183
Tagalog	284	63737
Talysh	0	182
Tswana	21	24818
Tongan	23	25020
Tok Pisin	21	26153
Turkish	2360	236163
Turoyo	17	23168
Tsonga	20	24794
Tatar	326	30248
Tatar in Cyrillic script	10	803
Tatar in Latin script	20	24578
Tumbuka	20	24843
Twi	19	22876
Tahitian	41	59073
Tuvan	547	398
Central Atlas Tamazight	1	3
Udmurt	187	274
Uyghur	51	682
Uyghur Arabic alphabet	13	224
Uyghur Latin alphabet	20	24577
Ukrainian	41488	122257
Urdu	1047	18459
Uzbek	1848	31322
Uzbek Cyrillic alphabet	0	1
Uzbek Latin alphabet	0	5
Venda	20	24950
Venetian	189	136646
Veps	609	25150
Vietnamese	5593	166840
West Flemish	162	134094
Main-Franconian	74	80215
Volapük	94	110869
Votic	20	24488
Võro	212	2074
Walloon	187	138433
Waray	124	44430
Wolof	92	105715
Wu Chinese	35	9674
Kalmyk Oirat	42	216
Xhosa	22	25284
Mingrelian	28	2455
Yiddish	114	2804
Yoruba	119	34762
Cantonese	45	22997
Zhuang	25	24736
Zeelandic	34	30507
Standard Moroccan Berber	0	4
Chinese	1454	722388
Putonghua	258	55580
Simplified Chinese	38	88536
Traditional Chinese	433	550500
Chinese (Hong Kong)	4	39080
Chinese in Macau	0	5142
Malaysian Mandarin	0	5178
Singaporean Mandarin	1	19319
Taiwanese Mandarin	40	25680
Zulu	99	107002
