language_long	num_permuted_baseline	num_permuted_comma	num_permuted_edit_distance	num_permuted_remove_parenthesis	num_permuted_remove_parenthesis_permute_comma
Marwari (India)	0	0	0	0	0
Sanskrit	0	0	77	9	9
Sakha	0	42	465	15	57
Santali	0	20	58	22	42
Sardinian	0	79	144	16	95
Sicilian	0	81	186	12	93
Scots	0	1381	238	174	1534
Sindhi	0	0	103	12	12
Sassarese	0	0	17	0	0
Southern Kurdish	0	0	0	0	0
Northern Sami	0	8	63	3	11
Seri	0	2	25	0	2
Koyraboro Senni	0	0	0	0	0
Sango	0	0	20	0	0
Samogitian	0	1	41	3	4
Serbo-Croatian	0	178	489	232	407
Tashelhit	0	0	0	0	0
Tachelhit in Latin script	0	0	20	0	0
Tachelhit in Tifinagh script	0	0	0	0	0
Shan	0	0	8	8	8
Shawiya in Latin script	0	0	1	0	0
Sinhala	0	8	156	8	16
Simple English	0	1	12	12	13
Kildin Sami	0	0	0	0	0
Pite Sami	0	0	27	0	0
Ume Sami	0	0	15	0	0
Slovak	0	143	743	382	524
Saraiki	0	0	4	0	0
Saraiki in Arabic script	0	0	1	0	0
Slovene	0	2332	5015	344	2667
Silesian German	0	1	17	0	1
Samoan	0	0	26	0	0
Southern Sami	0	0	48	0	0
Lule Sami	0	0	31	0	0
Inari Sami	0	0	20	1	1
Skolt Sami	0	0	20	0	0
Shona	0	3	22	0	3
Somali	0	2	42	2	4
Albanian	0	12079	1907	2816	14783
Serbian	0	273	816	425	656
Serbian written in Cyrillic	0	40	186	2	42
Serbian written in Latin script	0	97	256	3	100
Sranan Tongo	0	2	34	22	23
Sirionó	0	1	0	0	1
Swazi	0	1	19	0	1
Sesotho	0	1	22	0	1
Saterland Frisian	0	3	28	0	3
Siberian Tatar	0	0	0	0	0
Sundanese	0	9	105	23	32
Swedish	0	7122	5404	10102	16372
Swahili	0	107	394	21	127
Silesian	0	3	31	1	4
Sakizaya	0	0	12	1	1
Tamil	0	129	1029	496	533
Atayal	0	0	0	0	0
Tulu	0	1	12	0	1
Telugu	0	29	595	62	91
Tetum	0	4	91	1	5
Tajik	0	126	438	11	137
Tajik in Cyrillic script	0	0	2	0	0
Tajik in Latin script	0	1	38	0	1
Thai	0	4	939	164	168
Tigrinya	0	0	1	0	0
Turkmen	0	1	68	1	2
Tagalog	0	140	284	53	193
Talysh	0	0	0	0	0
Tswana	0	1	21	0	1
Tongan	0	1	23	5	6
Tok Pisin	0	3	21	0	3
Turkish	0	213	2360	964	1163
Turoyo	0	0	17	0	0
Tsonga	0	0	20	0	0
Tatar	0	10	326	54	64
Tatar in Cyrillic script	0	1	10	5	6
Tatar in Latin script	0	0	20	0	0
Tumbuka	0	1	20	0	1
Twi	0	1	19	1	2
Tahitian	0	20	41	4	24
Tuvan	0	531	547	3	531
Central Atlas Tamazight	0	0	1	0	0
Udmurt	0	190	187	1	191
Uyghur	0	0	51	8	8
Uyghur Arabic alphabet	0	0	13	0	0
Uyghur Latin alphabet	0	0	20	0	0
Ukrainian	0	598	41488	2741	3276
Urdu	0	0	1047	266	266
Uzbek	0	199	1848	42	241
Uzbek Cyrillic alphabet	0	0	0	0	0
Uzbek Latin alphabet	0	0	0	0	0
Venda	0	0	20	0	0
Venetian	0	79	189	17	96
Veps	0	0	609	1	1
Vietnamese	0	889	5593	1998	2400
West Flemish	0	82	162	18	100
Main-Franconian	0	68	74	4	72
Volapük	0	94	94	76	155
Votic	0	0	20	0	0
Võro	0	1	212	1	2
Walloon	0	80	187	13	93
Waray	0	30	124	11	41
Wolof	0	75	92	2	77
Wu Chinese	0	1	35	226	227
Kalmyk Oirat	0	17	42	0	17
Xhosa	0	1	22	0	1
Mingrelian	0	1	28	10	11
Yiddish	0	8	114	13	21
Yoruba	0	80	119	18	98
Cantonese	0	2	45	127	129
Zhuang	0	0	25	1	1
Zeelandic	0	7	34	0	7
Standard Moroccan Berber	0	0	0	0	0
Chinese	0	2385	1454	46045	48426
Putonghua	0	8	258	1071	1079
Simplified Chinese	0	9	38	28	37
Traditional Chinese	0	14	433	43777	43790
Chinese (Hong Kong)	0	1	4	8	9
Chinese in Macau	0	1	0	2	3
Malaysian Mandarin	0	1	0	1	2
Singaporean Mandarin	0	1	1	2	3
