language_long	mca_ed
Central Bikol	0.029775422659601314
Dhivehi	0.8260869565217391
Croatian	0.24046731866177837
Minangkabau	0.07288157223072997
Aragonese	0.18292272835021142
Classical Chinese	0.6686367198981091
Cebuano	0.10169892982493917
Tajik	0.7859520427417475
Alemannic	0.18337221588709762
Guianan Creole	0.8492063492063492
Erzya	0.5171580473658772
Ligurian	0.10662639713192541
Pashto	2.0562770562770565
Nias	0.0
Uzbek Latin alphabet	1.0
Shan	0.44651162790697674
Interlingue	0.09636571305231538
Javanese	0.04793672627235213
Latgalian	0.016449096714222206
Sundanese	0.025481436226405488
Southern Balochi	0.08465608465608465
Seri	0.009996611318197221
Modern Greek	1.9067865518094722
Fiji Hindi	0.040659790743567785
Kalmyk Oirat	0.6395348837209303
Tahitian	0.04273099434990019
Tumbuka	0.01315207336202389
Buginese	0.02357077996097297
Northern Sotho	0.013429585417002742
Kirundi	0.012245720040281974
Afrikaans	0.21336343416158238
N'Ko	2.338403041825095
Plautdietsch	0.013691500860723007
Hawaiian	0.025850875467243753
Esperanto	0.2915797567904816
Kumyk	0.0
Estonian	0.2559312783887034
Swiss Standard German	0.15626796695898984
West Flemish	0.10790579191991419
Swahili	0.12833552988603766
Livonian	0.08327953518398967
Northern Sami	0.034333257633627184
Simple English	0.08361252731245448
Old Prussian	0.10838879347359381
Livvi-Karelian	0.1611799914493373
Chinese	1.0323344044694838
Capiznon	0.09763313609467456
Ewe	0.11607548541483657
Mirandese	0.049352317739000104
Fijian	0.013372559507889811
Kazakh	1.7508913715236512
Welsh	0.08401755156195803
Niuean	0.08923076923076922
Aramaic	0.7916666666666666
Putonghua	1.6343171317024248
Saraiki in Arabic script	2.3333333333333335
Madurese	0.019867549668874173
Southern Sami	0.02076719260974387
Kabyle	0.10969110570704196
Gikuyu	0.012554415422885571
Neapolitan	0.09910115957276491
Chinese in Macau	1.0112796577207313
Moroccan Arabic	1.4601699940699744
Swazi	0.015582034830430797
Russian	1.5267033185589272
Tok Pisin	0.013715901276075495
Sicilian	0.11156033967581765
Doteli	0.90625
Fiji Hindi in Latin script	0.011785825788323446
Choctaw	0.012134411947728687
Bhojpuri	1.114900314795383
Finnish	0.21543572108889866
Igbo	0.019461133021267184
Bosnian	0.19664997006294085
Awadhi	0.6028880866425993
Saterland Frisian	0.031794669038911406
Belarusian	2.5302681992337166
Mongolian	0.8728710462287105
Goan Konkani in Latin script	0.102
Shawiya in Latin script	0.2222222222222222
Herero	0.012079647741885205
Aromanian	0.01949036857272865
Oromo	0.014261982901827317
Catalan	0.1989588533124153
Laz	0.007761966364812419
Uyghur Arabic alphabet	0.270042194092827
Acehnese	0.02210900818045404
Cree Wikiquote	0.011985164942416552
Corsican	0.1291865558281183
Kurdish	0.10207739009582327
Megleno-Romanian	0.04574132492113565
Ingush	0.6651376146788991
Wu Chinese	1.336800906375528
Algerian Arabic	1.0237580993520519
Tongan	0.03410134568542108
Vietnamese	0.25545574223031553
Gorontalo	0.04197605697833005
Khowar	0.12849162011173185
Limburgish	0.11070863764920501
Megleno-Romanian in Latin script	0.011672360501057426
Muscogee	0.012995787298306971
Cornish	0.024989955805544396
Kabardian in Cyrillic script	0.0903954802259887
Tajik in Cyrillic script	0.42214532871972316
Romagnol	0.14994119209318207
Bokmål	0.23079646739684676
Old English	0.04397463002114165
Gheg Albanian	0.008839451869396041
Piedmontese	0.1383729662077597
Tunisian Arabic	0.11042944785276074
Latin American Spanish	0.5534188034188035
Chewa	0.01478765412200822
Emilian	0.04091754494730316
Bavarian	0.12260548856394345
Western Balochi	0.033112582781456956
Sango	0.01218970736629667
Veps	0.046042160021739977
Kinyarwanda	0.014606426827804234
Kinaray-a	0.00830550560835688
