language_long	mca_comma
Central Bikol	0.044410799899066364
Ripuarian	0.04393462800875274
Saterland Frisian	0.039372673058548316
Saraiki	4.458333333333333
Gheg Albanian	0.015183556081881239
Plautdietsch	0.02097762120180952
Sindhi	2.3448275862068964
Atikamekw	0.07197943444730077
Romanian	0.346274721853545
Ossetian	3.3437139561707037
Ottoman Turkish	0.3694581280788177
Armenian	1.2315201801329405
Interlingue	0.1099819229973649
German	0.23586148013322308
Dinka	0.24047619047619048
Chamorro	0.020435861641073368
Ido	0.13728819493068198
Inupiat	0.01990281827016521
formal address in German	0.5454545454545454
Aragonese	0.19795588729816593
Newar	1.533271719038817
Udmurt	1.3383947939262473
Balinese	0.3208137715179969
Serbian written in Latin script	0.19953567937438904
Nauruan Wikiquote	0.019802770790913082
Venda	0.019543452142571086
Kurdish	0.11370784873089021
Goan Konkani in Devanagari script	0.45077720207253885
Mizo	0.014076019112392923
Batak Toba in Latin script	0.08764665286404417
Cape Verdean Creole	0.05070422535211268
Breton	0.20532315495555498
West Frisian	0.13845000576634758
Slovene	0.17261051630486013
Tunisian Arabic in Latin script	0.08770718232044199
Adyghe in Cyrillic script	0.033112582781456956
Kabardian	0.8271954674220963
Tarantino	0.021593032966158984
Hausa	0.05313153061870686
Tashelhit	0.0594855305466238
Scottish Gaelic	0.14146306461450148
Eastern Pwo	1.0
Latin American Spanish	0.6025641025641025
Ndonga	0.01829911547512781
Capiznon	0.09763313609467456
Latin	0.7424228756990799
Bislama Wiktionary	0.022900763358778626
Sango	0.018284561049445005
Piedmontese	0.1517539781870195
Tachelhit in Latin script	0.018020583329943458
traditional Gan	0.41534391534391535
Dutch Low Saxon	0.17548520902491854
Nynorsk	0.15093901421981062
Southern Sami	0.025398037858353425
Megleno-Romanian in Latin script	0.017813567593948268
Kazakh Arabic alphabets	2.5720470006184293
kven	0.0
Sranan Tongo	0.043976348854397634
Chinese (Hong Kong)	1.3538788250946678
Greenlandic	0.036402774455871804
Latvian	0.34206733634580583
Pashto	2.1915584415584415
Megleno-Romanian	0.04574132492113565
Uyghur Arabic alphabet	0.45147679324894513
Slovak	0.18662447534102833
Gilaki	0.8982558139534884
Assamese	0.5552820053715309
Mongolian	1.191301703163017
Gikuyu	0.020522388059701493
Kazakh in Latin script	0.13450118764845606
Kashubian	0.03317605973919827
Cree Wikiquote	0.01983212961155573
Tulu	1.3455210237659962
Cornish	0.03270389714744878
Gan	0.7331378299120235
Pontic Greek	0.12235817575083426
Finnish Kalo	0.0829103214890017
Rinconada Bikol	0.05373134328358209
Western Balochi	0.033112582781456956
Karakalpak	0.0285204991087344
Lezgian	1.4729458917835672
Kirmanjki	0.08465608465608465
Niuean	0.08923076923076922
Moksha	0.7890909090909091
Ingush	1.073394495412844
Mapudungun	0.01780086875053232
Karachay-Balkar	0.9708333333333333
Acehnese	0.0316690062442519
Norman	0.11195675042764752
Singaporean Mandarin	1.3850931677018634
Shona	0.021804802478698683
Adyghe	0.7354497354497355
Doteli	0.9079861111111112
Persian	1.0455708991290917
Hiligaynon	0.06548933038999265
Kanuri	0.018974566007266856
Laki	0.05224787363304982
Kinaray-a	0.014384793218597482
Shan	0.4604651162790698
Tagalog	0.12355320910326299
Icelandic	0.16773856327977638
Corsican	0.14228267762598382
simplified Gan	0.4067357512953368
Sanskrit	1.7645021645021646
Tajik	0.8192592278499798
Esperanto	0.33666238448468777
Meadow Mari	0.7717391304347826
Kazakh in Kazakhstan	1.624823695345557
Emilian-Romagnol	0.041545957334737954
Polish	0.4940924901792964
Dagbani	0.10687022900763359
Marathi	1.5117284388066048
