language_long	mean_crossing_alignments
Pali    0.12593016599885518
Romani  0.019563257145097424
Kirundi 0.017965760322255792
Tarantino       0.020320515369626594
Megleno-Romanian in Latin script        0.01708150317227916
Tachelhit in Latin script       0.01728837001179677
Shona   0.020681642137877616
Somali  0.04544210238160416
Swazi   0.02051416350224783
Tetum   0.03332997684019736
Tajik in Latin script   0.0408212174468765
Tongan  0.03865351595256159
Tsonga  0.018014024341097768
Tatar in Latin script   0.018375477681112286
Tumbuka 0.018420946788400436
Twi     0.019349202882725486
Uyghur Latin alphabet   0.01727852990202057
Venda   0.018782539046856228
Votic   0.017259670311734945
Xhosa   0.022326720935746464
Zhuang  0.021929647429425304
Serbian written in Cyrillic     1.1556211925419975
Kadazandusun    0.017135812615574276
Hiligaynon      0.06916850625459897
Kazakh in Turkey        0.0814329613456251
Kashmiri        0.7357859531772575
Kazakh Arabic alphabets 2.4935064935064934
Kazakh in China 2.3363636363636364
Kazakh in Kazakhstan    1.504231311706629
Kazakh in Cyrillic script       2.1702250432775534
Lezgian 1.279559118236473
Lao     0.05980419322065207
Moldovan        0.030644942907433317
Gheg Albanian   0.01492979191338183
Mapudungun      0.017673111319308408
Cherokee        0.018651424642227857
Inuktitut       0.017798031039078285
Kinaray-a       0.014727288295230756
Turoyo  0.0143627345266336
Brahui language 0.01469890943575154
Lozi    0.014544515684840139
Laz     0.014445881845623114
Southern Luri   0.017297006632012904
Mizo    0.014377340622444147
Riffian 0.01459697786909807
Kichwa  0.01599110655036771
Plautdietsch    0.021177789343048162
Sassarese       0.01482639182225226
Seri    0.017155201626567265
Silesian German 0.015237691001697792
Kurdish Arabic alphabet 0.9348290598290598
Avaric  1.6405797101449275
Lak     0.42290748898678415
Atikamekw       0.05912596401028278
Jutlandic       0.06965174129353234
Sirionó 0.06288032454361055
Madurese        0.02445236882322975
Tunisian Arabic in Arabic script        2.121273166800967
Gilaki  0.8255813953488372
Crimean Tatar Cyrillic alphabet 0.07065217391304347
Atayal  0.0
Algerian Arabic 0.8941684665226782
Mon language spelling   1.8363636363636364
Goan Konkani    0.9495652173913044
Tatar in Cyrillic script        0.6186961869618696
N'Ko    2.2547528517110265
Aramaic 0.7948717948717948
Toba Batak      0.0456140350877193
Rinconada Bikol 0.03880597014925373
Capiznon        0.06804733727810651
Cape Verdean Creole     0.036619718309859155
Krio    0.058011049723756904
Karelian        0.03869047619047619
Niuean  0.06461538461538462
Noongar 0.07984790874524715
simplified Gan  0.39896373056994816
traditional Gan 0.4021164021164021
Abkhaz  0.8730569948186528
Ottoman Turkish 0.3694581280788177
Latin American Spanish  0.6388888888888888
Awadhi  0.5487364620938628
Hill Mari       1.484472049689441
Ladin   0.6357615894039735
Moksha  0.76
Kabardian       0.8045325779036827
Pontic Greek    0.1067853170189099
Goan Konkani in Devanagari script       0.49740932642487046
Megleno-Romanian        0.03943217665615142
Tashelhit       0.06109324758842444
Eastern Canadian (Aboriginal syllabics) 0.03764320785597381
North Korean standard language  0.0979381443298969
Shan    0.4790697674418605
Marwari (India) 0.043209876543209874
Tajik in Cyrillic script        0.4359861591695502
Dagbani 0.04580152671755725
Tunisian Arabic 0.06748466257668712
Uyghur Arabic alphabet  0.4219409282700422
Ingush  0.9174311926605505
Saraiki 4.333333333333333
Karachay-Balkar 0.9416666666666667
Norwegian       0.07989690721649484
Dzongkha        0.3248730964467005
Laki    0.046172539489671933
Kirmanjki       0.05291005291005291
Meitei  2.1666666666666665
Shawiya in Latin script 0.7222222222222222
Eastern Pwo     1.0
Siberian Tatar  1.5
Kabardian in Cyrillic script    0.05649717514124294
Northern Thai   0.07058823529411765
Adyghe  0.7407407407407407
Western Balochi 0.013245033112582781
Megleno-Romanian in Cyrillic script     0.05291005291005291
Southern Balochi        0.05291005291005291
Nuosu   0.07303370786516854
Tachelhit in Tifinagh script    0.05649717514124294
Kashmiri in Arabic script       0.0903954802259887
Southern Kurdish        0.013245033112582781
Khowar  0.0893854748603352
Adyghe in Cyrillic script       0.013245033112582781
Angika  0.06593406593406594
Koyraboro Senni 0.012121212121212121
Kashmiri in Devanagari script   0.09550561797752809
Bakhtiari       0.08947368421052632
Talysh  0.054945054945054944
Tigrinya        1.121212121212121
formal Spanish  0.5555555555555556
formal address in German        0.5454545454545454
Saraiki in Arabic script        4.333333333333333
informal Dutch  0.16666666666666666
Standard Moroccan Berber        0.5
Nias    0.0
Uzbek Latin alphabet    0.2
Ambonese        0.0
Mandailing      0.0
Central Atlas Tamazight 0.5
kven    0.0
formal Hungarian        0.0
Kumyk   0.0
Uzbek Cyrillic alphabet 0.0
