language_code	type	count	language
kaa	LOC	1276	Karakalpak
kaa	ORG	1544	Karakalpak
kaa	PER	27780	Karakalpak
kab	LOC	42062	Kabyle
kab	ORG	41286	Kabyle
kab	PER	82315	Kabyle
kbd	LOC	563	Kabardian
kbd	ORG	152	Kabardian
kbd	PER	117	Kabardian
kbp	LOC	523	Kabiye
kbp	ORG	439	Kabiye
kbp	PER	1028	Kabiye
kcg	LOC	2	Tyap
kea	LOC	74	Cape Verdean Creole
kea	ORG	155	Cape Verdean Creole
kea	PER	707	Cape Verdean Creole
kg	LOC	81794	Kongo
kg	ORG	51666	Kongo
kg	PER	113730	Kongo
khw	LOC	1	Khowar
khw	ORG	1	Khowar
khw	PER	3	Khowar
ki	LOC	2916	Gikuyu
ki	ORG	1665	Gikuyu
ki	PER	27109	Gikuyu
kiu	LOC	4	Kirmanjki
kiu	ORG	48	Kirmanjki
kiu	PER	544	Kirmanjki
kj	LOC	314	Kwanyama
kj	ORG	964	Kwanyama
kj	PER	26113	Kwanyama
kjp	LOC	33	Eastern Pwo
kjp	ORG	5	Eastern Pwo
kjp	PER	5	Eastern Pwo
kk	LOC	240806	Kazakh
kk	ORG	167606	Kazakh
kk	PER	74801	Kazakh
kl	LOC	40829	Greenlandic
kl	ORG	41128	Greenlandic
kl	PER	45151	Greenlandic
km	LOC	1770	Khmer
km	ORG	583	Khmer
km	PER	888	Khmer
kn	LOC	17914	Kannada
kn	ORG	7146	Kannada
kn	PER	8892	Kannada
ko	LOC	57579	Korean
ko	ORG	61952	Korean
ko	PER	138182	Korean
koi	LOC	1112	Permyak
koi	ORG	180	Permyak
koi	PER	91	Permyak
kr	LOC	409	Kanuri
kr	ORG	975	Kanuri
kr	PER	26125	Kanuri
krc	LOC	283	Karachay-Balkar
krc	ORG	202	Karachay-Balkar
krc	PER	68	Karachay-Balkar
kri	LOC	100	Krio
kri	ORG	131	Krio
kri	PER	712	Krio
krj	LOC	1945	Kinaray-a
