count,language_code,type
6768,ne,LOC
6694,vec,ORG
6643,te,ORG
6600,nrm,ORG
6566,azb,ORG
6546,mn,PER
6527,qu,LOC
6512,pms,ORG
6365,rm,ORG
6364,sc,ORG
6361,tt,ORG
6290,vls,ORG
6284,ne,PER
6268,li,ORG
6182,nds-nl,ORG
6164,wa,ORG
6092,io,ORG
6010,pcd,ORG
6002,nap,ORG
5974,ia,ORG
5957,lij,ORG
5862,fur,ORG
5835,mg,ORG
5813,frr,LOC
5752,pam,LOC
5745,zu,ORG
5743,frp,ORG
5723,ie,ORG
5711,vo,ORG
5600,wo,ORG
5576,kg,ORG
5551,ta,ORG
5533,kk-tr,LOC
5505,mk,ORG
5395,kk-kz,LOC
5361,kk-cn,LOC
5246,tl,ORG
5179,ckb,LOC
5175,zh-my,PER
5139,zh-mo,PER
5119,crh,LOC
5059,ary,PER
4986,ckb,PER
4970,bs,ORG
4885,mi,LOC
4882,yue,ORG
4834,mzn,LOC
4832,cdo,LOC
4784,la,ORG
4653,ban,LOC
4468,as,PER
4435,bcl,LOC
4414,ty,ORG
4362,ace,ORG
4359,mai,LOC
4130,zh-sg,ORG
4110,hak,LOC
4089,ilo,LOC
4075,pa,LOC
4005,gu,PER
3992,sr-ec,ORG
3986,tet,LOC
3973,mai,PER
3943,nys,PER
3884,xmf,LOC
3775,bho,LOC
3750,cv,PER
3712,or,LOC
3666,fo,ORG
3567,se,ORG
3493,pi,PER
3466,ay,LOC
3409,ty,LOC
3401,ha,LOC
3336,ky,PER
3317,os,LOC
3313,my,LOC
3302,mn,LOC
3265,lad,LOC
3224,egl,PER
3221,zea,LOC
3207,nah,LOC
3194,vep,LOC
3164,mr,ORG
3143,kk,ORG
3034,fy,ORG
3021,dsb,LOC
2973,ku-latn,LOC
2919,cbk-zam,LOC
2913,yi,PER
2842,ki,LOC
2813,uz,ORG
2798,kw,LOC
2781,nv,LOC
2768,wuu,ORG
2753,ku-arab,LOC
2621,crh-latn,LOC
2593,kl,ORG
2576,mrj,LOC
2536,yo,LOC
2502,ceb,ORG
2482,xmf,PER
2482,aeb-arab,PER
2475,pfl,LOC
2471,ne,ORG
2467,yi,LOC
2440,mzn,PER
2433,sa,LOC
2354,nso,LOC
2336,olo,PER
2313,ps,LOC
2308,sa,PER
2308,ba,ORG
2296,lmo,ORG
2293,rw,LOC
2284,vro,PER
2272,lzh,LOC
2242,kn,ORG
2236,pag,LOC
2235,hif,LOC
2224,hyw,PER
2220,csb,LOC
2205,sah,LOC
2201,myv,LOC
2187,ce,PER
2183,tg-latn,LOC
2177,sat,LOC
2143,si,PER
2132,haw,LOC
2090,stq,LOC
2085,sm,LOC
2068,myv,PER
2039,rue,LOC
1984,gv,LOC
1962,mad,PER
1950,krj,LOC
1919,ny,LOC
1917,diq,ORG
1907,pnb,ORG
1904,bho,PER
1896,ang,LOC
1878,pa,ORG
