lang_code	language	comment	orthography	is_subtag	en_wikipedia_link	wikidata_url
bqi	Bakhtiari		Arabic	FALSE	https://en.wikipedia.org/wiki/Bakhtiari_dialect	http://www.wikidata.org/entity/Q257829
br	Breton		Latin	FALSE	https://en.wikipedia.org/wiki/Breton_language	http://www.wikidata.org/entity/Q12107
brh	Brahui	Minor attempt at development of Latin orthography	Arabic	FALSE	https://en.wikipedia.org/wiki/Brahui_language	http://www.wikidata.org/entity/Q33202
brx	Bodo		Devanagari	FALSE	https://en.wikipedia.org/wiki/Boro_language_(India)	http://www.wikidata.org/entity/Q33223
bs	Bosnian		Latin, Cyrillic	FALSE	https://en.wikipedia.org/wiki/Bosnian_language	http://www.wikidata.org/entity/Q9303
bsk	Burushaski	Urdu used, primarily spoken	Arabic	FALSE	https://en.wikipedia.org/wiki/Burushaski	http://www.wikidata.org/entity/Q216286
bss	Kose	Primarily spoken?	Latin	FALSE	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q34806
btm	Mandailing	Historically Batak	Latin	FALSE	https://en.wikipedia.org/wiki/Mandailing_language	http://www.wikidata.org/entity/Q2891049
bto	Rinconada Bikol	Historically Baybayin	Latin	FALSE	https://en.wikipedia.org/wiki/Rinconada_Bikol_language	http://www.wikidata.org/entity/Q12633026
bug	Buginese	Historically Lantara	Latin	FALSE	https://en.wikipedia.org/wiki/Buginese_language	http://www.wikidata.org/entity/Q33190
bxr	Buryat	Historically Mongolian, Latin	Cyrillic	FALSE	https://en.wikipedia.org/wiki/Buryat_language	http://www.wikidata.org/entity/Q33120
bxr	Russia Buriat		Cyrillic	FALSE	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q16116629
byq	Basay		Latin	FALSE	https://en.wikipedia.org/wiki/Basay_language	http://www.wikidata.org/entity/Q716647
bzg	Babuza		Latin	FALSE	https://en.wikipedia.org/wiki/Babuza_language	http://www.wikidata.org/entity/Q716615
bzs	Brazilian Sign Language	Unwritten	Latin	FALSE	https://en.wikipedia.org/wiki/Brazilian_Sign_Language	http://www.wikidata.org/entity/Q3436689
ca	Catalan		Latin	FALSE	https://en.wikipedia.org/wiki/Catalan_language	http://www.wikidata.org/entity/Q7026
cak	Kaqchikel		Latin	FALSE	https://en.wikipedia.org/wiki/Kaqchikel_language	http://www.wikidata.org/entity/Q35115
cal	Carolinian		Latin	FALSE	https://en.wikipedia.org/wiki/Carolinian_language	http://www.wikidata.org/entity/Q28427
cbk-zam	Chavacano		Latin	TRUE	https://en.wikipedia.org/wiki/Chavacano	http://www.wikidata.org/entity/Q33281
cbk-zam	Zamboanga Chavacano		Latin	TRUE	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q32174903
ccp	Chakma	Related to Brahmic and Burmese	Chakma	FALSE	https://en.wikipedia.org/wiki/Chakma_language	http://www.wikidata.org/entity/Q32952
ccp-beng	Chakma in Bengali script		Bengali	TRUE	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q107530840
cdo	Min Dong		CJK	FALSE	https://en.wikipedia.org/wiki/Eastern_Min	http://www.wikidata.org/entity/Q36455
ce	Chechen		Cyrillic	FALSE	https://en.wikipedia.org/wiki/Chechen_language	http://www.wikidata.org/entity/Q33350
ceb	Cebuano		Latin	FALSE	https://en.wikipedia.org/wiki/Cebuano_language	http://www.wikidata.org/entity/Q33239
ch	Chamorro		Latin	FALSE	https://en.wikipedia.org/wiki/Chamorro_language	http://www.wikidata.org/entity/Q33262
chn	Chinook Jargon	Primarily unwritten	Latin	FALSE	https://en.wikipedia.org/wiki/Chinook_Jargon	http://www.wikidata.org/entity/Q35173
cho	Choctaw		Latin	FALSE	https://en.wikipedia.org/wiki/Choctaw_language	http://www.wikidata.org/entity/Q32979
chr	Cherokee		Cherokee	FALSE	https://en.wikipedia.org/wiki/Cherokee_language	http://www.wikidata.org/entity/Q33388
chy	Cheyenne	Endangered	Latin	FALSE	https://en.wikipedia.org/wiki/Cheyenne_language	http://www.wikidata.org/entity/Q33265
ckb	Kurdish Wikipedia	Other scripts also used	Arabic	FALSE	https://en.wikipedia.org/wiki/Kurdish_Wikipedia	http://www.wikidata.org/entity/Q1154741
ckb	Sorani		Arabic	FALSE	https://en.wikipedia.org/wiki/Sorani	http://www.wikidata.org/entity/Q36811
ckt	Chukchi	Romanization rules exist	Cyrillic	FALSE	https://en.wikipedia.org/wiki/Chukchi_language	http://www.wikidata.org/entity/Q33170
ckv	Kavalan		Latin	FALSE	https://en.wikipedia.org/wiki/Kavalan_language	http://www.wikidata.org/entity/Q716627
clc	Chilcotin		Latin	FALSE	https://en.wikipedia.org/wiki/Chilcotin_language	http://www.wikidata.org/entity/Q28535
cnh	Hakha-Chin	Reportedly also Pau Chin Hau	Latin	FALSE	https://en.wikipedia.org/wiki/Hakha_Chin_language	http://www.wikidata.org/entity/Q3250286
cnr	Montenegrin		Latin	FALSE	https://en.wikipedia.org/wiki/Montenegrin_language	http://www.wikidata.org/entity/Q8821
co	Corsican		Latin	FALSE	https://en.wikipedia.org/wiki/Corsican_language	http://www.wikidata.org/entity/Q33111
cop	Coptic		Coptic	FALSE	https://en.wikipedia.org/wiki/Coptic_language	http://www.wikidata.org/entity/Q36155
cps	Capiznon	Unwritten?	Latin	FALSE	https://en.wikipedia.org/wiki/Capiznon_language	http://www.wikidata.org/entity/Q2937525
cpx	Pu-Xian Min		CJK	FALSE	https://en.wikipedia.org/wiki/Pu-Xian_Min	http://www.wikidata.org/entity/Q56583
