lang_code	language	orthography	observed_scripts	keep_these_scripts	is_subtag
gan	Gan	CJK	Common,Han	Han	FALSE
gan-hans	simplified Gan	CJK	Common,Han	Han	TRUE
gan-hant	traditional Gan	CJK	Common,Han	Han	TRUE
gcf	Guadeloupe-Martinique Creole French	Latin			FALSE
gcr	Guianan Creole	Latin	Latin	Latin	FALSE
gd	Scottish Gaelic	Latin	Common,Latin	Latin	FALSE
gez	Ge'ez	Ge'ez			FALSE
gil	Gilbertese	Latin			FALSE
gkm	Medieval Greek	Greek			FALSE
gl	Galician	Latin	Common,Latin	Latin	FALSE
glk	Gilaki	Arabic	Arabic	Arabic	FALSE
gmh	Middle High German	Latin			FALSE
gml	Middle Low German	Latin			FALSE
gn	Guarani	Latin	Common,Latin	Latin	FALSE
goh	Old High German	Latin			FALSE
gom	Goan Konkani	Latin	Devanagari,Kannada,Latin	Devanagari, Kannada	FALSE
gom-deva	Goan Konkani in Devanagari script	Devanagari	Devanagari	Devanagari	TRUE
gom-latn	Goan Konkani in Latin script	Latin	Common,Latin	Latin	TRUE
gor	Gorontalo	Latin	Common,Latin	Latin	FALSE
got	Gothic	Gothic	Gothic,Latin	Gothic	FALSE
grc	Ancient Greek	Greek	Common,Greek,Latin	Greek	FALSE
gsg	German Sign Language	Latin			FALSE
gsw	Alemannic	Latin	Common,Latin	Latin	FALSE
gsw-fr	Alsatian	Latin			TRUE
gu	Gujarati	Gujarati	Gujarati	Gujarati	FALSE
guc	Wayuu	Latin	Latin	Latin	FALSE
guw	Gun	Latin			FALSE
gv	Manx	Latin	Common,Latin	Latin	FALSE
ha	Hausa	Latin	Common,Latin	Latin	FALSE
hai	Haida	Latin			FALSE
hak	Hakka	CJK	Common,Latin	Latin	FALSE
haw	Hawaiian	Latin	Common,Latin	Latin	FALSE
hbo	Biblical Hebrew	Hebrew			FALSE
he	Hebrew	Hebrew	Common,Hebrew	Hebrew	FALSE
hi	Hindi	Devanagari	Common,Devanagari	Devanagari	FALSE
hif	Fiji Hindi	Devanagari	Common,Latin	Devanagari	FALSE
hif-latn	Fiji Hindi in Latin script	Latin	Common,Latin	Latin	TRUE
hil	Hiligaynon	Latin	Common,Latin	Latin	FALSE
ho	Hiri Motu	Latin	Common,Latin	Latin	FALSE
hoc	Ho	Warang Citi			FALSE
hr	Croatian	Latin	Common,Latin	Latin	FALSE
hrx	Hunsrik	Latin	Common,Latin	Latin	FALSE
hsb	Upper Sorbian	Latin	Common,Latin	Latin	FALSE
ht	Haitian Creole	Latin	Common,Latin	Latin	FALSE
hu	Hungarian	Latin	Common,Latin	Latin	FALSE
hu-formal	formal Hungarian	Latin	Latin	Latin	TRUE
hy	Armenian	Armenian	Armenian,Common	Armenian	FALSE
hyw	Western Armenian	Armenian	Armenian,Common	Armenian	FALSE
hz	Herero	Latin	Common,Latin	Latin	FALSE
ia	Interlingua	Latin	Common,Latin	Latin	FALSE
id	Indonesian	Latin	Common,Latin	Latin	FALSE
ie	Interlingue	Latin	Common,Latin	Latin	FALSE
ig	Igbo	Latin	Common,Latin	Latin	FALSE
ii	Nuosu	Yi	Yi	Yi	FALSE
ik	Inupiaq	Latin	Common,Latin	Latin	FALSE
ike-cans	Eastern Canadian (Aboriginal syllabics)	Aboriginal syllabics	Canadian_Aboriginal	Canadian_Aboriginal	TRUE
ike-latn	Eastern Canadian in Latin script	Latin	Common,Latin	Latin	TRUE
ilo	Ilocano	Latin	Common,Latin	Latin	FALSE
inh	Ingush	Cyrillic	Cyrillic	Cyrillic	FALSE
ins	Indian Sign Language	Latin			FALSE
io	Ido	Latin	Common,Latin	Latin	FALSE
is	Icelandic	Latin	Common,Latin	Latin	FALSE
it	Italian	Latin	Common,Latin	Latin	FALSE
iu	Inuktitut	Inuktitut	Canadian_Aboriginal	Canadian_Aboriginal	FALSE
ja	Japanese	CJK	Common,Han,Hiragana,Katakana,Latin	Han,Hiragana,Katakana	FALSE
ja-hani	Japanese written in kanji	CJK			TRUE
ja-hira	Japanese written in hiragana	Hiragana			TRUE
ja-hrkt	Japanese written in kana	Hiragana,Katakana			TRUE
ja-kana	Japanese written in katakana	Katakana			TRUE
jam	Jamaican Creole	Latin	Common,Latin	Latin	FALSE
jax	Jambi Malay	Latin			FALSE
jbo	Lojban	Latin	Common,Latin	Latin	FALSE
jut	Jutlandic	Latin	Common,Latin	Latin	FALSE
jv	Javanese	Latin	Common,Latin	Latin	FALSE
ka	Georgian	Georgian	Common,Georgian,Latin	Georgian	FALSE
