count,language,type
990,kk-cn,PER
980,ln,LOC
974,shn,LOC
967,bo,PER
945,tyv,PER
936,ku-arab,PER
936,dty,LOC
934,fkv,LOC
918,glk,LOC
908,tum,LOC
906,lrc,LOC
899,pnt,PER
896,st,LOC
881,pih,LOC
880,ig,LOC
867,os,PER
856,srn,LOC
847,mo,LOC
846,km,PER
840,za,LOC
831,tn,LOC
823,lki,PER
820,pi,LOC
814,ltg,LOC
813,tt-cyrl,PER
806,ch,LOC
800,bxr,LOC
792,smn,PER
778,atj,PER
777,lg,LOC
776,rue,PER
774,rmy,LOC
753,xal,LOC
748,koi,LOC
744,tw,LOC
739,rn,LOC
736,mhr,PER
733,ug,PER
733,simple,LOC
728,om,LOC
727,xh,LOC
711,sms,PER
706,smj,LOC
703,as,LOC
700,fj,LOC
682,gan,PER
670,kbp,PER
669,chy,LOC
669,av,LOC
663,jbo,LOC
650,to,LOC
639,ik,LOC
639,ban,PER
631,ts,LOC
624,got,LOC
623,szy,PER
622,shi,PER
619,ve,LOC
613,sg,LOC
611,ike-cans,PER
610,kv,LOC
604,ff,LOC
592,dv,LOC
591,rmf,PER
590,sju,PER
586,fit,LOC
575,gom,PER
552,atj,LOC
547,tcy,PER
543,lo,LOC
538,ee,LOC
513,kbp,LOC
510,kbd,LOC
502,nqo,LOC
502,crh,PER
493,ss,LOC
493,srq,PER
488,bxr,PER
485,tt-latn,LOC
483,mrj,PER
468,es-419,PER
467,sms,LOC
463,arq,PER
461,udm,PER
437,dv,PER
431,gcr,LOC
426,arn,LOC
425,arc,LOC
424,aa,LOC
420,hz,LOC
420,din,PER
419,ho,LOC
418,cr,LOC
418,cho,LOC
415,tt-cyrl,LOC
414,cu,LOC
403,kr,LOC
402,mus,LOC
397,iu,LOC
388,no,PER
386,tg-cyrl,LOC
386,gan-hans,PER
386,ab,PER
383,lrc,PER
378,gan-hant,PER
367,gom,LOC
367,chr,LOC
362,kri,PER
355,kea,PER
353,kbd,PER
352,kv,PER
346,ug-latn,LOC
345,av,PER
344,glk,PER
341,vot,LOC
339,ike-latn,LOC
338,cps,PER
336,krl,PER
335,bto,PER
326,sjd,PER
325,niu,PER
322,hif-latn,LOC
322,ab,LOC
321,pdt,LOC
312,arc,PER
310,kj,LOC
308,shi-latn,LOC
308,ruq-latn,LOC
308,bpy,PER
299,ks,PER
292,lld,LOC
289,tg-cyrl,PER
289,lbe,LOC
285,bbc,PER
280,gom-latn,LOC
278,koi,PER
277,awa,PER
275,mdf,PER
275,aln,LOC
272,krc,LOC
271,ady,LOC
264,brh,LOC
263,nqo,PER
263,inh,LOC
261,ng,LOC
258,xal,PER
255,qug,LOC
251,mh,LOC
246,awa,LOC
244,mdf,LOC
240,krc,PER
237,ug-arab,PER
231,szy,LOC
227,lbe,PER
227,als,LOC
227,aeb-arab,LOC
221,liv,LOC
219,pnt,LOC
218,inh,PER
215,shn,PER
204,gom-deva,LOC
203,ota,PER
197,dz,PER
194,ko-kp,PER
193,gom-deva,PER
192,dtp,LOC
190,bqi,PER
189,ruq-cyrl,PER
189,kiu,PER
189,bcc,PER
189,ady,PER
185,sei,LOC
184,crh-cyrl,PER
182,tly,PER
182,anp,PER
179,sli,LOC
179,khw,PER
178,ks-deva,PER
178,ii,PER
177,shi-tfng,PER
177,ks-arab,PER
177,kbd-cyrl,PER
177,grc,LOC
175,rif,LOC
173,lus,LOC
173,loz,LOC
172,tru,LOC
172,lzz,LOC
171,tcy,LOC
170,tyv,LOC
170,nod,PER
166,din,LOC
165,ses,PER
163,aeb,PER
162,rwr,PER
158,gan-hant,LOC
151,sdh,PER
151,lld,PER
151,bgn,PER
151,ady-cyrl,PER
147,tay,LOC
145,dz,LOC
131,ruq,LOC
131,dag,PER
130,als,PER
126,gcr,PER
114,ti,LOC
110,bgn,LOC
106,arq,LOC
105,sje,LOC
97,kri,LOC
97,jut,LOC
95,ks,LOC
81,aeb-latn,LOC
80,hrx,LOC
78,bbc-latn,LOC
65,nys,LOC
64,mad,LOC
62,kea,LOC
55,mnw,PER
53,xsy,LOC
52,ike-cans,LOC
50,rmf,LOC
