lang_code	observed_scripts	language	orthography	is_subtag
gom	Devanagari,Kannada,Latin	Goan Konkani	Latin	False
gom-deva	Devanagari	Goan Konkani in Devanagari script	Devanagari	True
gom-latn	Common,Latin	Goan Konkani in Latin script	Latin	True
gor	Common,Latin	Gorontalo	Latin	False
got	Gothic,Latin	Gothic	Gothic	False
grc	Common,Greek,Latin	Ancient Greek	Greek	False
gsg		German Sign Language	Latin	False
gsw	Common,Latin	Alemannic	Latin	False
gsw-fr		Alsatian	Latin	True
gu	Gujarati	Gujarati	Gujarati	False
guc	Latin	Wayuu	Latin	False
guw		Gun	Latin	False
gv	Common,Latin	Manx	Latin	False
ha	Common,Latin	Hausa	Latin	False
hai		Haida	Latin	False
hak	Common,Latin	Hakka	CJK	False
haw	Common,Latin	Hawaiian	Latin	False
hbo		Biblical Hebrew	Hebrew	False
he	Common,Hebrew	Hebrew	Hebrew	False
hi	Common,Devanagari	Hindi	Devanagari	False
hif	Common,Latin	Fiji Hindi	Devanagari	False
hif-latn	Common,Latin	Fiji Hindi in Latin script	Latin	True
hil	Common,Latin	Hiligaynon	Latin	False
ho	Common,Latin	Hiri Motu	Latin	False
hoc		Ho	Warang Citi	False
hr	Common,Latin	Croatian	Latin	False
hrx	Common,Latin	Hunsrik	Latin	False
hsb	Common,Latin	Upper Sorbian	Latin	False
ht	Common,Latin	Haitian Creole	Latin	False
hu	Common,Latin	Hungarian	Latin	False
hu-formal	Latin	formal Hungarian	Latin	True
hy	Armenian,Common	Armenian	Armenian	False
hyw	Armenian,Common	Western Armenian	Armenian	False
hz	Common,Latin	Herero	Latin	False
ia	Common,Latin	Interlingua	Latin	False
id	Common,Latin	Indonesian	Latin	False
ie	Common,Latin	Interlingue	Latin	False
ig	Common,Latin	Igbo	Latin	False
ii	Yi	Nuosu	Yi	False
ik	Common,Latin	Inupiaq	Latin	False
ike-cans	Canadian_Aboriginal	Eastern Canadian (Aboriginal syllabics)	Aboriginal syllabics	True
ike-latn	Common,Latin	Eastern Canadian in Latin script	Latin	True
ilo	Common,Latin	Ilocano	Latin	False
inh	Cyrillic	Ingush	Cyrillic	False
ins		Indian Sign Language	Latin	False
io	Common,Latin	Ido	Latin	False
is	Common,Latin	Icelandic	Latin	False
it	Common,Latin	Italian	Latin	False
iu	Canadian_Aboriginal	Inuktitut	Inuktitut	False
ja	Common,Han,Hiragana,Katakana,Latin	Japanese	CJK	False
ja-hani		Japanese written in kanji	CJK	True
ja-hira		Japanese written in hiragana	Hiragana	True
ja-hrkt		Japanese written in kana	Hiragana,Katakana	True
ja-kana		Japanese written in katakana	Katakana	True
jam	Common,Latin	Jamaican Creole	Latin	False
jax		Jambi Malay	Latin	False
jbo	Common,Latin	Lojban	Latin	False
jut	Common,Latin	Jutlandic	Latin	False
jv	Common,Latin	Javanese	Latin	False
ka	Common,Georgian,Latin	Georgian	Georgian	False
ka	Common,Georgian,Latin	მთავარი გვერდი	Georgian	False
kaa	Common,Latin	Karakalpak	Cyrillic, Latin	False
kab	Common,Latin	Kabyle	Tifinagh,Latin	False
kae		Ketagalan	Latin	False
kbd	Cyrillic	Kabardian	Cyrillic	False
kbd-cyrl	Latin	Kabardian in Cyrillic script	Cyrillic	True
kbg		Khamba	Latin	False
kbp	Common,Latin	Kabiye	Latin	False
kcg	Latin	Tyap	Latin	False
kea	Common,Latin	Cape Verdean Creole	Latin	False
kg	Common,Latin	Kongo	Latin	False
kha		Khasi	Latin	False
khg		Khams Tibetan	Tibetan	False
khw	Arabic	Khowar	Arabic	False
ki	Common,Latin	Gikuyu	Latin	False
kiu	Common,Latin	Kirmanjki	Latin	False
kj	Common,Latin	Kwanyama	Latin	False
kjh		Khakas	Latin	False
kjp	Myanmar	Eastern Pwo	Burmese	False
kk	Common,Cyrillic	Kazakh	Cyrillic, Latin	False
kk-arab	Arabic	Kazakh in Arabic script	Arabic	True
kk-cn	Arabic	Kazakh in China	Arabic	True
kk-cyrl	Cyrillic	Kazakh in Cyrillic script	Cyrillic	True
kk-kz	Cyrillic	Kazakh in Kazakhstan	Cyrillic, Latin	True
kk-latn	Common,Latin	Kazakh in Latin script	Latin	True
kk-tr	Common,Latin	Kazakh in Turkey	Cyrillic	True
kl	Common,Latin	Greenlandic	Latin	False
km	Common,Khmer	Khmer	Khmer	False
kn	Kannada	Kannada	Kannada	False
ko	Common,Hangul,Latin	Korean	Korean	False
ko-kp	Common,Hangul	North Korean standard language	Korean	True
ko-kr		South Korean standard language	Korean	True
koi	Cyrillic	Permyak	Cyrillic	False
koy		Koyukon	Latin	False
kr	Common,Latin	Kanuri	Arabic, Latin	False
krc	Cyrillic	Karachay-Balkar	Cyrillic	False
kri	Common,Latin	Krio	Latin	False
krj	Common,Latin	Kinaray-a	Latin	False
krl	Common,Latin	Karelian	Cyrillic, Latin	False
krx		Karon	Latin	False
ks	Arabic,Devanagari	Kashmiri	Arabic,Devanagari	False
ks-arab	Arabic	Kashmiri in Arabic script	Arabic	True
ks-deva	Latin	Kashmiri in Devanagari script	Devanagari	True
ksh	Common,Latin	Kölsch	Latin	False
ksh	Common,Latin	Ripuarian	Latin	False
ksw		S'gaw Karen	Latin	False
ku	Common,Latin	Kurdish Wikipedia	Arabic	False
ku	Common,Latin	Kurmanji	Arabic	False
ku	Common,Latin	Kurdish	Arabic	False
ku-arab	Arabic,Common	Kurdish in Arabic script	Arabic	True
ku-latn	Common,Latin	Kurdish in Latin script	Latin	True
kum	Cyrillic	Kumyk	Cyrillic	False
kut		Kutenai	Latin	False
kv	Cyrillic	Komi	Cyrillic	False
kw	Common,Latin	Cornish	Latin	False
ky	Common,Cyrillic	Kyrgyz	Cyrillic, Arabic	False
ky-arab		Kyrgyz in Arabic script	Cyrillic	True
ky-cyrl		Kyrgyz in Cyrillic script	Arabic	True
la	Common,Latin	Latin	Latin	False
lad	Common,Latin	Judaeo-Spanish	Latin	False
lag		Rangi	Latin	False
lb	Common,Latin	Luxembourgish	Latin	False
lbe	Cyrillic	Lak	Cyrillic	False
lez	Cyrillic	Lezgian	Cyrillic	False
lfn	Common,Latin	Lingua Franca Nova	Latin, Cyrillic	False
lg	Common,Latin	Luganda	Latin	False
li	Common,Latin	Limburgish	Latin	False
lij	Common,Latin	Ligurian	Latin	False
lij-mc		Monégasque	Latin	True
liv	Common,Latin	Livonian	Latin	False
lki	Common,Latin	Laki	Latin	False
lkt		Lakota	Latin	False
lld	Latin	Ladin	Latin	False
lmo	Common,Latin	Lombard	Latin	False
ln	Common,Latin	Lingala	Latin	False
lo	Lao	Lao	Lao, Khmer	False
loz	Common,Latin	Lozi	Latin	False
lrc	Arabic	Northern Luri	Arabic	False
lt	Common,Latin	Lithuanian	Latin	False
ltg	Common,Latin	Latgalian	Latin	False
lus	Common,Latin	Mizo	Latin	False
luz	Common,Latin	Southern Luri	Arabic	False
lv	Common,Latin	Latvian	Latin	False
lzh	Common,Han	Classical Chinese	CJK	False
lzz	Common,Latin	Laz	Latin, Georgian	False
mad	Latin	Madurese	Latin, Arabic	False
mai	Devanagari	Maithili	Devanagari, Tirhuta, Kaithi	False
map-bms	Common,Latin	Banyumasan	Latin	True
