count	language_code	type
27220	mk	LOC
27174	ch	PER
27165	chy	PER
27159	so	PER
27109	ki	PER
27104	ik	PER
27095	ho	PER
27091	cho	PER
27041	hz	PER
27028	hif-latn	PER
26994	haw	PER
26937	ike-latn	PER
26928	ln	PER
26703	cr	PER
26613	yue	PER
26595	rw	PER
26582	pih	PER
26548	pag	PER
26439	tg-latn	PER
26428	to	PER
26426	na	PER
26420	st	PER
26348	ve	PER
26279	th	ORG
26279	ny	PER
26272	yue	LOC
26272	te	LOC
26247	sm	PER
26226	tum	PER
26206	tn	PER
26199	rn	PER
26182	ts	PER
26171	nv	PER
26164	nso	PER
26150	ltg	PER
26136	sg	PER
26125	kr	PER
26113	kj	PER
26101	kk-tr	PER
26066	sdc	PER
26055	be-tarask	PER
26046	om	PER
26006	ng	PER
26001	tg	LOC
25981	tt-latn	PER
25978	ruq-latn	PER
25974	ug-latn	PER
25965	shi-latn	PER
25954	sei	PER
25905	vot	PER
25875	sli	PER
25863	ku-latn	PER
25734	dtp	PER
25686	lg	PER
25681	tk	PER
25339	lmo	LOC
25116	bn	ORG
25089	ba	LOC
25037	ky	LOC
25004	aln	PER
24882	arn	PER
24787	su	LOC
24742	qug	PER
24714	krj	PER
24701	rif	PER
24648	ml	ORG
24583	loz	PER
24573	lus	PER
24532	lzz	PER
24528	tru	PER
24430	lmo	ORG
24308	tw	PER
24258	ss	PER
24039	ht	LOC
24037	bs	LOC
23974	mh	PER
23484	mo	PER
23329	sq	ORG
23138	ku	LOC
23009	sr-ec	ORG
22785	ur	PER
22673	yue	ORG
22170	ta	ORG
22131	ht	ORG
22129	zh-tw	LOC
21910	jv	ORG
21666	ka	ORG
20543	bjn	LOC
20348	mk	PER
20306	smj	PER
20195	diq	LOC
19758	tl	ORG
19729	zh-tw	ORG
19487	zh-sg	PER
18639	su	ORG
18304	gu	LOC
17914	kn	LOC
17190	cv	LOC
16987	mr	LOC
16893	pnb	LOC
16806	gor	LOC
16731	diq	ORG
16623	bpy	LOC
16381	ky	ORG
16008	bug	ORG
15928	mr	PER
15922	mk	ORG
15516	az	ORG
14961	kk	PER
14923	te	PER
14811	new	LOC
14661	se	LOC
13993	hi	ORG
13778	tg	ORG
13162	bo	PER
12500	zh-sg	ORG
12389	ku	ORG
12380	be-tarask	ORG
11950	si	LOC
11779	map-bms	LOC
11558	pa	PER
11301	sr-ec	PER
11195	te	ORG
10286	hsb	LOC
10077	or	PER
10006	wuu	PER
9853	pnb	PER
9560	crh	LOC
9120	nan	PER
8898	szl	LOC
8892	kn	PER
8757	roa-tara	ORG
8738	ban	LOC
8687	rup	LOC
8451	roa-tara	LOC
8437	mr	ORG
8136	ba	PER
8102	rup	ORG
7932	bs	ORG
7828	fy	LOC
7719	ty	ORG
7615	sgs	LOC
7583	se	ORG
7304	frr	LOC
7146	kn	ORG
7042	ne	LOC
6911	ne	PER
6817	mi	LOC
6797	ckb	PER
6738	simple	PER
6724	qu	LOC
6695	mn	PER
6683	ckb	LOC
6584	kk-tr	LOC
6457	ba	ORG
6445	kk-kz	LOC
6404	kk-cn	LOC
6309	wuu	ORG
6148	fy	ORG
6005	hsb	ORG
5999	bpy	ORG
5868	ha	LOC
5859	pam	LOC
5758	dag	PER
5605	kk-tr	ORG
5586	szl	ORG
5521	yo	ORG
