language,conll_type,num_docs
bgn,LOC,110
lbe,LOC,289
bbc-latn,LOC,78
ks,LOC,95
gom-deva,LOC,204
ii,LOC,26
ss,LOC,495
atj,LOC,617
awa,LOC,248
de-formal,LOC,6
sjd,LOC,36
sju,LOC,48
sje,LOC,105
ko-kp,LOC,16
nqo,LOC,512
mdf,LOC,305
avk,LOC,1139
arc,LOC,425
szy,LOC,231
liv,LOC,221
arq,LOC,108
ug-arab,LOC,32
gan-hant,LOC,159
gan-hans,LOC,716104
zh-my,LOC,717379
cps,LOC,1689
bpy,LOC,19705
tt-latn,LOC,487
haw,LOC,2135
rmy,LOC,776
krc,LOC,274
ltg,LOC,822
anp,LOC,5
shi-latn,LOC,308
rif,LOC,175
dag,LOC,2
xh,LOC,727
pag,LOC,2238
iu,LOC,414
sg,LOC,613
rn,LOC,741
krj,LOC,1950
st,LOC,956
ug-latn,LOC,347
om,LOC,728
arn,LOC,428
shi,LOC,44
kr,LOC,403
ami,LOC,2
tum,LOC,908
lus,LOC,173
ng,LOC,261
ts,LOC,635
simple,LOC,733
kl,LOC,39966
rgn,LOC,38011
kv,LOC,1010
xal,LOC,753
koi,LOC,1043
crh,LOC,5281
ab,LOC,383
myv,LOC,2743
dv,LOC,592
to,LOC,660
sms,LOC,472
se,LOC,14574
gcr,LOC,431
mrj,LOC,2728
mwl,LOC,1806
rue,LOC,2066
got,LOC,624
mhr,LOC,4367
lfn,LOC,1133
aeb-latn,LOC,81
zh-mo,LOC,1783
ln,LOC,982
new,LOC,31234
gom,LOC,367
tn,LOC,835
grc,LOC,181
xmf,LOC,4164
sei,LOC,185
lo,LOC,545
sa,LOC,2470
ast,LOC,255992
fy,LOC,8345
hif,LOC,2904
lad,LOC,3353
tay,LOC,147
ff,LOC,604
sq,LOC,68066
te,LOC,47987
din,LOC,166
la,LOC,63272
shi-tfng,LOC,3
sr-el,LOC,95318
ady-cyrl,LOC,2
bg,LOC,125453
so,LOC,1620
be-tarask,LOC,36437
hu,LOC,183644
sco,LOC,119019
tr,LOC,187303
az,LOC,33469
sh,LOC,284128
bm,LOC,38917
rw,LOC,2293
hy,LOC,122450
dty,LOC,967
yi,LOC,2470
fj,LOC,700
bcc,LOC,4
uk,LOC,360612
id,LOC,284212
nys,LOC,66
pnb,LOC,16419
bar,LOC,91616
ar,LOC,231781
th,LOC,35155
shn,LOC,1036
nan,LOC,345014
nso,LOC,3195
co,LOC,81863
ota,LOC,8
qug,LOC,255
mai,LOC,5061
map-bms,LOC,11181
luz,LOC,2
fur,LOC,68246
frp,LOC,67221
kj,LOC,310
ur,LOC,91782
hz,LOC,420
pi,LOC,820
et,LOC,119977
ga,LOC,249821
kiu,LOC,3
sdh,LOC,2
cy,LOC,186239
kn,LOC,17543
en-ca,LOC,195874
khw,LOC,4
mnw,LOC,42
olo,LOC,1527
ms,LOC,279582
lld,LOC,292
ho,LOC,419
de-at,LOC,101079
no,LOC,15
kea,LOC,62
ku-arab,LOC,2854
ko,LOC,56876
lzz,LOC,172
tt,LOC,151942
nn,LOC,256808
cs,LOC,313727
glk,LOC,935
bi,LOC,1065
pl,LOC,509650
vi,LOC,268479
pnt,LOC,219
vls,LOC,78065
rm,LOC,80669
cu,LOC,414
smn,LOC,1272
el,LOC,59278
ky,LOC,29395
fo,LOC,40925
ban,LOC,4681
eu,LOC,268254
da,LOC,216511
my,LOC,22891
aeb-arab,LOC,227
oc,LOC,174094
sw,LOC,94448
he,LOC,45780
de,LOC,855100
mt,LOC,1288
li,LOC,70445
ca,LOC,334265
vot,LOC,341
lv,LOC,79625
ta,LOC,37617
nb,LOC,295214
sn,LOC,1040
zu,LOC,81216
zh-hk,LOC,68103
gan,LOC,716400
hsb,LOC,7529
tyv,LOC,183
zh-sg,LOC,729620
aln,LOC,275
yue,LOC,21466
ja,LOC,199216
ve,LOC,665
kbp,LOC,513
ne,LOC,7466
ps,LOC,2399
ki,LOC,2842
fr,LOC,1078761
za,LOC,841
sr,LOC,327723
io,LOC,85418
gsw,LOC,83580
diq,LOC,19482
sv,LOC,1339598
wo,LOC,76985
ak,LOC,1389
chr,LOC,369
is,LOC,81730
sgs,LOC,7451
ia,LOC,85737
sk,LOC,208642
azb,LOC,114877
en,LOC,3133634
zgh,LOC,3
stq,LOC,2103
zh-hant,LOC,105315
lt,LOC,112214
ckb,LOC,7781
roa-tara,LOC,8248
pt-br,LOC,131220
gl,LOC,143272
lb,LOC,95401
ka,LOC,44415
sl,LOC,156393
nds,LOC,92858
bqi,LOC,5
fit,LOC,587
sah,LOC,2509
ro,LOC,320165
gor,LOC,13218
vo,LOC,141924
hr,LOC,125448
ku,LOC,11347
eml,LOC,1777
skr,LOC,31
en-gb,LOC,239745
gu,LOC,34900
rmf,LOC,50
kk-tr,LOC,6579
min,LOC,95495
mzn,LOC,4884
sm,LOC,2085
kk-kz,LOC,6442
fi,LOC,255287
ti,LOC,117
lij,LOC,67771
gom-latn,LOC,280
tl,LOC,81486
pih,LOC,882
nds-nl,LOC,78893
tg,LOC,47874
zh,LOC,1008963
lez,LOC,1720
ceb,LOC,2122273
am,LOC,1958
vro,LOC,2391
tg-cyrl,LOC,388
pms,LOC,81233
fa,LOC,274332
dtp,LOC,192
sdc,LOC,1693
os,LOC,4153
mh,LOC,251
ku-latn,LOC,3082
mg,LOC,100219
es,LOC,609200
be,LOC,87175
hak,LOC,4117
ty,LOC,3409
tg-latn,LOC,2187
zh-tw,LOC,27577
fkv,LOC,1025
ml,LOC,36430
ny,LOC,1924
ike-latn,LOC,339
an,LOC,89712
wa,LOC,78724
uz,LOC,72632
nap,LOC,74693
pa,LOC,7477
bn,LOC,88868
ay,LOC,3469
hrx,LOC,80
ig,LOC,880
tt-cyrl,LOC,475
kaa,LOC,1235
rup,LOC,8508
ba,LOC,33289
nah,LOC,3227
si,LOC,12096
bto,LOC,1688
frr,LOC,5905
hi,LOC,55775
smj,LOC,760
frc,LOC,38305
tw,LOC,744
gn,LOC,1575
nrm,LOC,77198
kw,LOC,2798
ug,LOC,1676
bs,LOC,24821
tk,LOC,1441
wuu,LOC,723667
kk,LOC,102610
ady,LOC,271
mn,LOC,3348
qu,LOC,6951
hil,LOC,1804
it,LOC,441061
kbd,LOC,563
ha,LOC,3403
mk,LOC,36241
sma,LOC,1130
ang,LOC,1896
jv,LOC,38415
als,LOC,227
cv,LOC,24482
pcd,LOC,66958
ik,LOC,639
sr-ec,LOC,30345
nl,LOC,1197077
gag,LOC,1214
kk-arab,LOC,48217
lzh,LOC,2479
bo,LOC,1008
kk-cyrl,LOC,48658
inh,LOC,265
brh,LOC,264
arz,LOC,172110
war,LOC,189031
jbo,LOC,663
su,LOC,26305
pfl,LOC,2493
nv,LOC,2789
kk-latn,LOC,48526
mo,LOC,848
af,LOC,89861
ch,LOC,807
pt,LOC,406280
yo,LOC,2557
kk-cn,LOC,6407
ruq-cyrl,LOC,3
tet,LOC,4205
es-formal,LOC,1
cbk-zam,LOC,2921
de-ch,LOC,102062
gv,LOC,1987
ilo,LOC,4091
zh-hans,LOC,812833
jam,LOC,38929
aeb,LOC,4
ksh,LOC,1162
kab,LOC,41304
hyw,LOC,1528
cdo,LOC,4836
scn,LOC,86431
ext,LOC,1353
chy,LOC,672
aa,LOC,424
tcy,LOC,172
ht,LOC,32688
crh-latn,LOC,2662
ce,LOC,297768
bjn,LOC,20148
bcl,LOC,4442
loz,LOC,173
vec,LOC,90486
cr,LOC,420
ee,LOC,538
sc,LOC,84812
tpi,LOC,1190
szl,LOC,7347
eo,LOC,146500
sat,LOC,2186
zea,LOC,3261
bho,LOC,3993
kg,LOC,78405
km,LOC,1770
xsy,LOC,53
zh-cn,LOC,745941
nov,LOC,1589
ace,LOC,61655
cho,LOC,419
br,LOC,92234
dsb,LOC,3403
egl,LOC,49
pdt,LOC,330
hif-latn,LOC,322
ruq-latn,LOC,308
mus,LOC,402
bxr,LOC,816
ie,LOC,79039
pdc,LOC,1263
bbc,LOC,1592
prg,LOC,38165
or,LOC,3915
av,LOC,723
vep,LOC,3234
sli,LOC,179
csb,LOC,2281
es-419,LOC,49
lg,LOC,777
tru,LOC,172
ru,LOC,557345
as,LOC,711
lmo,LOC,24434
lrc,LOC,906
pam,LOC,5758
pap,LOC,39285
sd,LOC,1545
srn,LOC,859
na,LOC,1271
gd,LOC,84890
mr,LOC,16533
vmf,LOC,38563
ary,LOC,1759
bug,LOC,29764
mi,LOC,4886
udm,LOC,1617
tzm,ORG,6
shy-latn,ORG,5
hu-formal,ORG,3
kum,ORG,1
de-formal,ORG,8
kjp,ORG,3
sty,ORG,2
mni,ORG,19
mad,ORG,30
jut,ORG,101
ks,ORG,93
ks-deva,ORG,24
gor,ORG,1743
ks-arab,ORG,24
lbe,ORG,104
gom-deva,ORG,182
atj,ORG,479
arq,ORG,52
liv,ORG,240
bbc-latn,ORG,160
xal,ORG,324
koi,ORG,218
awa,ORG,151
kbd-cyrl,ORG,24
tly,ORG,23
niu,ORG,89
krl,ORG,67
kri,ORG,99
ug-arab,ORG,37
lki,ORG,3
gan-hans,ORG,682
srq,ORG,67
dz,ORG,133
crh-cyrl,ORG,26
bpy,ORG,5872
ii,ORG,25
bgn,ORG,111
rwr,ORG,2
nod,ORG,4
gan-hant,ORG,113
ses,ORG,2
cps,ORG,1539
arc,ORG,366
ruq,ORG,53
ike-cans,ORG,50
szy,ORG,193
avk,ORG,335
mhr,ORG,593
sjd,ORG,31
gom,ORG,259
sju,ORG,55
sje,ORG,136
glk,ORG,120
dv,ORG,351
nqo,ORG,273
crh,ORG,588
lfn,ORG,1412
tw,ORG,1176
ss,ORG,1013
ab,ORG,178
myv,ORG,537
simple,ORG,465
kv,ORG,375
bo,ORG,558
lzh,ORG,2062
rgn,ORG,37591
pap,ORG,39137
tt-latn,ORG,905
haw,ORG,2467
anp,ORG,25
shi-latn,ORG,842
got,ORG,1009
to,ORG,940
rif,ORG,647
dag,ORG,15
xh,ORG,1090
grc,ORG,114
tn,ORG,1015
tk,ORG,1387
pag,ORG,2484
iu,ORG,730
sg,ORG,1023
rn,ORG,974
krj,ORG,2106
lo,ORG,918
sei,ORG,632
st,ORG,1091
ug-latn,ORG,859
om,ORG,1062
arn,ORG,845
pam,ORG,4920
shi,ORG,49
kr,ORG,902
ami,ORG,1
tum,ORG,1320
lus,ORG,605
ng,ORG,789
ts,ORG,1092
ko-kp,ORG,40
sms,ORG,566
sa,ORG,1015
als,ORG,167
cv,ORG,2803
xmf,ORG,1477
rmy,ORG,1157
rue,ORG,1205
kl,ORG,40122
mrj,ORG,755
mwl,ORG,1922
tr,ORG,91059
ady-cyrl,ORG,3
bg,ORG,39202
sr-ec,ORG,22616
kk-arab,ORG,29722
ky,ORG,16257
cu,ORG,725
smn,ORG,1071
el,ORG,37478
dty,ORG,490
yi,ORG,1819
fj,ORG,1100
rw,ORG,1311
hy,ORG,46895
si,ORG,4767
bto,ORG,1515
frr,ORG,2550
fkv,ORG,6
ml,ORG,22037
ny,ORG,937
ike-latn,ORG,893
shn,ORG,273
nan,ORG,109308
nso,ORG,1263
co,ORG,54411
luz,ORG,2
fur,ORG,50294
pi,ORG,548
et,ORG,80611
ga,ORG,58673
zh-hk,ORG,56868
tyv,ORG,154
zh-sg,ORG,12763
de-at,ORG,56767
no,ORG,44
kea,ORG,120
ku-arab,ORG,283
ko,ORG,66947
shi-tfng,ORG,23
sr-el,ORG,59739
sk,ORG,92192
ti,ORG,125
lij,ORG,50076
kn,ORG,6933
ki,ORG,1576
gsw,ORG,54747
zu,ORG,49261
mt,ORG,2378
li,ORG,51715
kk-cyrl,ORG,29899
pfl,ORG,2929
pnt,ORG,185
vls,ORG,50047
vi,ORG,124594
vo,ORG,93143
hr,ORG,75521
ku,ORG,2338
hsb,ORG,2974
gan,ORG,949
eml,ORG,2447
lzz,ORG,581
tt,ORG,81925
sq,ORG,20677
mo,ORG,798
af,ORG,56630
ch,ORG,1300
kiu,ORG,25
sdh,ORG,2
cy,ORG,90765
fa,ORG,107075
dtp,ORG,696
chr,ORG,752
is,ORG,55211
bar,ORG,55635
din,ORG,137
la,ORG,57474
ia,ORG,57116
sgs,ORG,1853
tay,ORG,25
ff,ORG,1086
nn,ORG,92228
da,ORG,121801
ban,ORG,1909
eu,ORG,134715
gl,ORG,78834
nb,ORG,154150
sn,ORG,1244
ta,ORG,20895
sco,ORG,60547
th,ORG,24266
ar,ORG,108801
hu,ORG,151309
pl,ORG,250295
ty,ORG,5839
hak,ORG,2717
tg-latn,ORG,1674
zh-tw,ORG,26932
min,ORG,63979
rmf,ORG,66
kk-tr,ORG,5429
lad,ORG,2809
hif,ORG,1676
he,ORG,51620
de,ORG,476217
sw,ORG,53039
gag,ORG,1311
nl,ORG,655387
ast,ORG,202954
ms,ORG,120085
lld,ORG,235
ho,ORG,939
azb,ORG,45077
en,ORG,1834659
ja,ORG,279939
fr,ORG,699526
uz,ORG,65180
wa,ORG,50163
an,ORG,61882
aeb-arab,ORG,220
oc,ORG,76252
sm,ORG,1204
fi,ORG,157615
kk-kz,ORG,4854
my,ORG,3055
tg,ORG,12804
zh,ORG,247902
hi,ORG,13327
smj,ORG,298
frc,ORG,37783
bcc,ORG,23
uk,ORG,179566
id,ORG,120138
nys,ORG,692
za,ORG,1125
io,ORG,56973
sr,ORG,82766
be-tarask,ORG,14543
so,ORG,1790
roa-tara,ORG,8475
pt-br,ORG,92030
ca,ORG,198097
vot,ORG,727
lv,ORG,56914
inh,ORG,148
brh,ORG,646
war,ORG,90602
su,ORG,20934
jbo,ORG,1101
arz,ORG,32592
fy,ORG,6330
en-ca,ORG,88408
khw,ORG,24
mnw,ORG,35
olo,ORG,592
ak,ORG,1430
skr,ORG,13
gu,ORG,4738
en-gb,ORG,174097
lrc,ORG,590
lmo,ORG,23551
pcd,ORG,49484
ik,ORG,1088
nds-nl,ORG,50251
sah,ORG,1539
ro,ORG,141610
kk,ORG,59382
chy,ORG,1124
sl,ORG,47354
nds,ORG,57314
bqi,ORG,27
fit,ORG,1294
rm,ORG,51548
kbd,ORG,181
it,ORG,441327
hil,ORG,1604
kk-latn,ORG,30604
nv,ORG,2210
nah,ORG,2814
sh,ORG,66573
bm,ORG,38533
mh,ORG,812
ku-latn,ORG,1107
mg,ORG,64549
es,ORG,479263
be,ORG,34371
cs,ORG,163518
bi,ORG,1220
az,ORG,15486
frp,ORG,49420
kj,ORG,886
ur,ORG,34412
hz,ORG,940
pt,ORG,246564
yo,ORG,2019
rup,ORG,7877
lb,ORG,58338
ka,ORG,18465
mk,ORG,17432
kk-cn,ORG,4830
ruq-cyrl,ORG,24
tet,ORG,2670
bn,ORG,21598
ceb,ORG,149221
lez,ORG,551
bs,ORG,7729
wuu,ORG,6293
ha,ORG,1549
fo,ORG,42208
es-formal,ORG,7
cbk-zam,ORG,3061
zh-hans,ORG,95632
jam,ORG,38862
gom-latn,ORG,339
tl,ORG,18053
pih,ORG,1202
sma,ORG,927
ang,ORG,1922
jv,ORG,22202
aeb,ORG,7
ksh,ORG,1770
kab,ORG,40330
hyw,ORG,1439
cdo,ORG,1559
scn,ORG,58315
ext,ORG,1811
wo,ORG,48853
sv,ORG,241307
diq,ORG,15859
aa,ORG,964
tcy,ORG,122
ht,ORG,20973
hrx,ORG,201
ig,ORG,1355
ay,ORG,1438
crh-latn,ORG,1384
ce,ORG,75715
bjn,ORG,2453
tt-cyrl,ORG,495
kaa,ORG,1433
bcl,ORG,4433
gn,ORG,1758
nrm,ORG,50051
kw,ORG,1882
loz,ORG,605
vec,ORG,71580
cr,ORG,953
ee,ORG,925
sc,ORG,51247
tpi,ORG,1582
szl,ORG,4905
eo,ORG,117021
sat,ORG,1155
de-ch,ORG,61517
ilo,ORG,3764
gv,ORG,1836
zea,ORG,3630
bho,ORG,891
kg,ORG,48969
km,ORG,599
nov,ORG,1754
zh-cn,ORG,38479
ace,ORG,5089
cho,ORG,940
br,ORG,61396
dsb,ORG,2272
qu,ORG,2695
egl,ORG,293
pdt,ORG,710
hif-latn,ORG,919
te,ORG,10842
bug,ORG,15094
udm,ORG,620
mi,ORG,1692
aln,ORG,664
yue,ORG,17675
aeb-latn,ORG,162
ln,ORG,1405
zh-mo,ORG,1615
zh-my,ORG,2097
zh-hant,ORG,103606
lt,ORG,69380
ckb,ORG,2548
zgh,ORG,4
stq,ORG,2118
ba,ORG,6688
ota,ORG,7
map-bms,ORG,2559
qug,ORG,650
mai,ORG,913
vep,ORG,1891
sli,ORG,653
pnb,ORG,4799
ruq-latn,ORG,842
mus,ORG,901
bxr,ORG,492
ie,ORG,50300
pdc,ORG,1639
bbc,ORG,1515
prg,ORG,38107
or,ORG,1290
av,ORG,255
csb,ORG,1644
es-419,ORG,199
lg,ORG,991
mzn,ORG,1995
gcr,ORG,294
tru,ORG,581
ru,ORG,236174
as,ORG,777
am,ORG,1173
ve,ORG,961
ne,ORG,3344
ps,ORG,1050
kbp,ORG,399
se,ORG,5616
sd,ORG,831
nap,ORG,57155
pa,ORG,2860
new,ORG,4495
tg-cyrl,ORG,250
pms,ORG,61579
vro,ORG,791
ltg,ORG,999
krc,ORG,224
ug,ORG,766
sdc,ORG,660
os,ORG,1117
mdf,ORG,158
srn,ORG,1260
na,ORG,1478
mr,ORG,7819
gd,ORG,52738
vmf,ORG,38384
ary,ORG,1813
ady,ORG,187
mn,ORG,1875
