	language_code	type	count
334	gd	PER	148362
335	gl	LOC	133648
336	gl	ORG	80137
337	gl	PER	560032
338	glk	LOC	1253
339	glk	ORG	99
340	glk	PER	191
341	gn	LOC	1648
342	gn	ORG	1899
343	gn	PER	27769
344	gom	LOC	769
345	gom	ORG	779
346	gom	PER	2153
347	gor	LOC	16806
348	gor	ORG	1779
349	gor	PER	27232
350	got	LOC	402
351	got	ORG	328
352	got	PER	182
353	grc	LOC	318
354	grc	ORG	163
355	grc	PER	1009
356	gsw	LOC	85432
357	gsw	ORG	56008
358	gsw	PER	202571
359	gu	LOC	18304
360	gu	ORG	4860
361	gu	PER	4328
362	guc	LOC	6
363	guc	ORG	7
364	guc	PER	18
365	gur	LOC	2
366	gur	PER	7
367	gv	LOC	2081
368	gv	ORG	1956
369	gv	PER	31877
370	ha	LOC	5869
371	ha	ORG	3945
372	ha	PER	36503
373	hak	LOC	4237
374	hak	ORG	2810
375	hak	PER	30316
376	haw	LOC	2207
377	haw	ORG	2626
378	haw	PER	26995
379	he	LOC	51306
380	he	ORG	56332
381	he	PER	156343
382	hi	LOC	30371
383	hi	ORG	13993
384	hi	PER	30002
385	hif	LOC	327
386	hif	ORG	1008
387	hif	PER	27033
388	hil	LOC	1815
389	hil	ORG	1680
390	hil	PER	1824
391	ho	LOC	1998
392	ho	ORG	2481
393	ho	PER	27096
394	hr	LOC	129427
395	hr	ORG	76468
396	hr	PER	220275
397	hrx	LOC	78
398	hrx	ORG	242
399	hrx	PER	2086
400	hsb	LOC	10286
401	hsb	ORG	6009
402	hsb	PER	80733
403	ht	LOC	24039
404	ht	ORG	22135
405	ht	PER	42415
406	hu	LOC	184716
407	hu	ORG	155265
408	hu	PER	825850
409	hy	LOC	95834
410	hy	ORG	43710
411	hy	PER	72239
412	hyw	LOC	1849
413	hyw	ORG	1705
414	hyw	PER	2794
415	hz	LOC	427
416	hz	ORG	1021
417	hz	PER	27042
418	ia	LOC	87767
419	ia	ORG	58620
420	ia	PER	119808
421	id	LOC	277285
422	id	ORG	127043
423	id	PER	369696
424	ie	LOC	82959
425	ie	ORG	53684
426	ie	PER	119513
427	ig	LOC	2503
428	ig	ORG	3264
429	ig	PER	29401
430	ii	LOC	22
431	ii	ORG	2
432	ik	LOC	679
433	ik	ORG	1200
434	ik	PER	27105
435	ike	LOC	360
436	ike	ORG	982
437	ike	PER	26944
438	ilo	LOC	4237
439	ilo	ORG	3942
440	ilo	PER	33635
441	inh	LOC	299
442	inh	ORG	134
443	inh	PER	53
444	io	LOC	87571
445	io	ORG	58582
446	io	PER	157101
447	is	LOC	83542
448	is	ORG	56665
449	is	PER	141805
450	it	LOC	439677
451	it	ORG	443518
452	it	PER	2213437
453	iu	LOC	233
454	iu	ORG	148
455	iu	PER	75
456	ja	LOC	188141
457	ja	ORG	232799
458	ja	PER	542040
459	jam	LOC	41325
460	jam	ORG	41238
461	jam	PER	82425
462	jbo	LOC	674
463	jbo	ORG	1191
464	jbo	PER	27522
465	jut	LOC	100
466	jut	ORG	148
467	jut	PER	38045
468	jv	LOC	37351
469	jv	ORG	21917
470	jv	PER	92500
471	ka	LOC	46961
472	ka	ORG	21667
473	ka	PER	27785
474	kaa	LOC	1277
475	kaa	ORG	1548
476	kaa	PER	27781
477	kab	LOC	42063
478	kab	ORG	41291
479	kab	PER	82317
480	kbd	LOC	563
481	kbd	ORG	152
482	kbd	PER	117
483	kbp	LOC	523
484	kbp	ORG	439
485	kbp	PER	1028
486	kcg	LOC	2
487	kea	LOC	74
488	kea	ORG	155
489	kea	PER	707
490	kg	LOC	81794
491	kg	ORG	51754
492	kg	PER	113733
493	khw	LOC	1
494	khw	ORG	1
495	khw	PER	3
496	ki	LOC	2916
497	ki	ORG	1669
498	ki	PER	27110
499	kiu	LOC	4
500	kiu	ORG	48
501	kiu	PER	544
502	kj	LOC	314
503	kj	ORG	968
504	kj	PER	26114
505	kjp	LOC	33
506	kjp	ORG	5
507	kjp	PER	5
508	kk	LOC	240806
509	kk	ORG	167615
510	kk	PER	74802
511	kl	LOC	40829
512	kl	ORG	41135
513	kl	PER	45153
514	km	LOC	1770
515	km	ORG	583
516	km	PER	888
517	kn	LOC	17914
518	kn	ORG	7146
519	kn	PER	8892
520	ko	LOC	57625
521	ko	ORG	62133
522	ko	PER	138329
523	koi	LOC	1112
524	koi	ORG	180
525	koi	PER	91
526	kr	LOC	409
527	kr	ORG	979
528	kr	PER	26126
529	krc	LOC	283
530	krc	ORG	202
531	krc	PER	68
532	kri	LOC	100
533	kri	ORG	131
534	kri	PER	712
535	krj	LOC	1945
536	krj	ORG	2198
537	krj	PER	24714
538	krl	LOC	8
539	krl	ORG	101
540	krl	PER	687
541	ks	LOC	140
542	ks	ORG	102
543	ks	PER	166
544	ksh	LOC	1356
545	ksh	ORG	2181
546	ksh	PER	31713
547	ku	LOC	29133
548	ku	ORG	13928
549	ku	PER	56184
550	kum	PER	1
551	kv	LOC	1235
552	kv	ORG	349
553	kv	PER	191
554	kw	LOC	3032
555	kw	ORG	2139
556	kw	PER	27572
557	ky	LOC	25037
558	ky	ORG	16382
559	ky	PER	3517
560	la	LOC	66121
561	la	ORG	58715
562	la	PER	73301
563	lad	LOC	3350
564	lad	ORG	2949
565	lad	PER	29618
566	lb	LOC	100043
567	lb	ORG	63812
568	lb	PER	215620
569	lbe	LOC	321
570	lbe	ORG	82
571	lbe	PER	55
572	lez	LOC	1738
573	lez	ORG	527
574	lez	PER	855
575	lfn	LOC	1215
576	lfn	ORG	1540
577	lfn	PER	38318
578	lg	LOC	797
579	lg	ORG	1078
580	lg	PER	25687
581	li	LOC	72127
582	li	ORG	53156
583	li	PER	161617
584	lij	LOC	72266
585	lij	ORG	54038
586	lij	PER	141474
587	liv	LOC	223
588	liv	ORG	279
589	liv	PER	1942
590	lki	LOC	3
591	lki	ORG	28
592	lki	PER	1190
593	lld	LOC	421
594	lld	ORG	346
595	lld	PER	338
596	lmo	LOC	25344
597	lmo	ORG	24437
598	lmo	PER	63657
599	ln	LOC	1327
600	ln	ORG	1831
601	ln	PER	26929
602	lo	LOC	512
603	lo	ORG	355
604	lo	PER	541
605	loz	LOC	177
606	loz	ORG	674
607	loz	PER	24583
608	lrc	LOC	929
609	lrc	ORG	596
610	lrc	PER	242
611	lt	LOC	104873
612	lt	ORG	67126
613	lt	PER	191093
614	ltg	LOC	803
615	ltg	ORG	1090
616	ltg	PER	26151
617	lus	LOC	177
618	lus	ORG	674
619	lus	PER	24573
620	luz	PER	1
621	lv	LOC	72776
622	lv	ORG	56023
623	lv	PER	98045
624	lzh	LOC	2420
625	lzh	ORG	2110
626	lzh	PER	415819
627	lzz	LOC	178
628	lzz	ORG	644
629	lzz	PER	24532
630	mad	LOC	216
631	mad	ORG	158
632	mad	PER	2245
633	mai	LOC	4457
634	mai	ORG	925
635	mai	PER	3973
636	map	LOC	11779
637	map	ORG	2664
638	map	PER	78948
639	mcn	ORG	2
640	mcn	PER	2
641	mdf	LOC	268
642	mdf	ORG	127
643	mdf	PER	129
644	mg	LOC	106312
645	mg	ORG	68507
646	mg	PER	140682
647	mh	LOC	256
648	mh	ORG	890
649	mh	PER	23975
650	mhr	LOC	2078
651	mhr	ORG	543
652	mhr	PER	837
653	mi	LOC	6817
654	mi	ORG	3379
655	mi	PER	41629
656	min	LOC	97359
657	min	ORG	65627
658	min	PER	166014
659	mk	LOC	27221
660	mk	ORG	15940
661	mk	PER	20348
662	ml	LOC	38566
663	ml	ORG	24648
664	ml	PER	30341
665	mn	LOC	3475
666	mn	ORG	1850
667	mn	PER	6695
668	mni	LOC	552
669	mni	ORG	450
670	mni	PER	567
671	mnw	LOC	46
672	mnw	ORG	47
673	mnw	PER	56
674	mo	LOC	868
675	mo	ORG	861
676	mo	PER	23484
677	mr	LOC	16987
678	mr	ORG	8437
679	mr	PER	15928
680	mrj	LOC	2675
681	mrj	ORG	735
682	mrj	PER	306
683	ms	LOC	272286
684	ms	ORG	118334
685	ms	PER	155375
686	mt	LOC	1797
687	mt	ORG	3037
688	mt	PER	63275
689	mus	LOC	409
690	mus	ORG	990
691	mus	PER	27489
692	mwl	LOC	2160
693	mwl	ORG	2018
694	mwl	PER	30498
695	my	LOC	3461
696	my	ORG	2675
697	my	PER	3195
698	myv	LOC	2541
699	myv	ORG	411
700	myv	PER	669
701	mzn	LOC	5031
702	mzn	ORG	2033
703	mzn	PER	2379
704	na	LOC	2966
705	na	ORG	3045
706	na	PER	26427
707	nah	LOC	4865
708	nah	ORG	4418
709	nah	PER	28530
710	nan	LOC	352106
711	nan	ORG	111566
712	nan	PER	9120
713	nap	LOC	76415
714	nap	ORG	58605
715	nap	PER	139822
716	nb	LOC	298962
717	nb	ORG	178591
718	nb	PER	1357083
719	nds	LOC	174163
720	nds	ORG	110080
721	nds	PER	480236
722	ne	LOC	7042
723	ne	ORG	3520
724	ne	PER	6911
725	new	LOC	14811
726	new	ORG	4596
727	new	PER	935
728	ng	LOC	263
729	ng	ORG	869
730	ng	PER	26007
731	nia	LOC	81
732	nia	ORG	40
733	nia	PER	19
734	niu	LOC	5
735	niu	ORG	121
736	niu	PER	675
737	nl	LOC	1015255
738	nl	ORG	630196
739	nl	PER	8108244
740	nn	LOC	232527
741	nn	ORG	95323
742	nn	PER	910339
743	no	LOC	2
744	no	ORG	15
745	no	PER	24
746	nod	LOC	7
747	nod	ORG	4
748	nod	PER	8
749	nov	LOC	1622
750	nov	ORG	1858
751	nov	PER	27684
752	nqo	LOC	598
753	nqo	ORG	322
754	nqo	PER	367
755	nrm	LOC	79028
756	nrm	ORG	51417
757	nrm	PER	117663
758	nso	LOC	2507
759	nso	ORG	1364
760	nso	PER	26165
761	nv	LOC	2902
762	nv	ORG	2344
763	nv	PER	26172
764	ny	LOC	1984
765	ny	ORG	1045
766	ny	PER	26280
767	nys	LOC	70
768	nys	ORG	751
769	nys	PER	5171
770	oc	LOC	181982
771	oc	ORG	78138
772	oc	PER	178085
773	om	LOC	2312
774	om	ORG	2602
775	om	PER	26047
776	or	LOC	3672
777	or	ORG	1296
778	or	PER	10077
779	os	LOC	4906
