lang_code	language	is_subtag	en_wikipedia_link	wikidata_url
crl	Northern East Cree	False	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q12642195
crs	Seychellois Creole	False	https://en.wikipedia.org/wiki/Seychellois_Creole	http://www.wikidata.org/entity/Q34015
cs	Czech	False	https://en.wikipedia.org/wiki/Czech_language	http://www.wikidata.org/entity/Q9056
csb	Kashubian	False	https://en.wikipedia.org/wiki/Kashubian_language	http://www.wikidata.org/entity/Q33690
ctg	Chittagonian	False	https://en.wikipedia.org/wiki/Chittagonian_language	http://www.wikidata.org/entity/Q33173
cu	Church Slavonic	False	https://en.wikipedia.org/wiki/Church_Slavonic	http://www.wikidata.org/entity/Q33251
cu	Old Church Slavonic	False	https://en.wikipedia.org/wiki/Old_Church_Slavonic	http://www.wikidata.org/entity/Q35499
cu	Slavonic musical notation	False	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q108519491
cu	Slavonic documents	False	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q110088676
cv	Chuvash	False	https://en.wikipedia.org/wiki/Chuvash_language	http://www.wikidata.org/entity/Q33348
cy	Welsh	False	https://en.wikipedia.org/wiki/Welsh_language	http://www.wikidata.org/entity/Q9309
da	Danish	False	https://en.wikipedia.org/wiki/Danish_language	http://www.wikidata.org/entity/Q9035
dag	Dagbani	False	https://en.wikipedia.org/wiki/Dagbani_language	http://www.wikidata.org/entity/Q32238
dar	Dargwa	False	https://en.wikipedia.org/wiki/Dargwa_language	http://www.wikidata.org/entity/Q32332
de	German	False	https://en.wikipedia.org/wiki/German_language	http://www.wikidata.org/entity/Q188
de	German	False	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q21167895
de-at	Austrian German	True	https://en.wikipedia.org/wiki/Austrian_German	http://www.wikidata.org/entity/Q306626
de-ch	Swiss High German	True	https://en.wikipedia.org/wiki/Swiss_Standard_German	http://www.wikidata.org/entity/Q1366643
de-formal	formal address in German	True	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q64427341
din	Dinka	False	https://en.wikipedia.org/wiki/Dinka_language	http://www.wikidata.org/entity/Q56466
diq	Zazaki	False	https://en.wikipedia.org/wiki/Zaza_language	http://www.wikidata.org/entity/Q10199
dlm	Dalmatian	False	https://en.wikipedia.org/wiki/Dalmatian_language	http://www.wikidata.org/entity/Q35527
dru	Rukai	False	https://en.wikipedia.org/wiki/Rukai_language	http://www.wikidata.org/entity/Q49232
dsb	Lower Sorbian	False	https://en.wikipedia.org/wiki/Lower_Sorbian_language	http://www.wikidata.org/entity/Q13286
dtp	Kadazandusun	False	https://en.wikipedia.org/wiki/Kadazandusun_language	http://www.wikidata.org/entity/Q5317225
dty	Doteli	False	https://en.wikipedia.org/wiki/Doteli	http://www.wikidata.org/entity/Q18415595
dua	Duala	False	https://en.wikipedia.org/wiki/Duala_language	http://www.wikidata.org/entity/Q33013
dv	Dhivehi	False	https://en.wikipedia.org/wiki/Maldivian_language	http://www.wikidata.org/entity/Q32656
dz	Dzongkha	False	https://en.wikipedia.org/wiki/Dzongkha	http://www.wikidata.org/entity/Q33081
ee	Ewe	False	https://en.wikipedia.org/wiki/Ewe_language	http://www.wikidata.org/entity/Q30005
egl	Emilian	False	https://en.wikipedia.org/wiki/Emilian_dialects	http://www.wikidata.org/entity/Q1057898
el	Modern Greek	False	https://en.wikipedia.org/wiki/Modern_Greek	http://www.wikidata.org/entity/Q36510
el	Greek	False	https://en.wikipedia.org/wiki/Greek_language	http://www.wikidata.org/entity/Q9129
eml	Emilian-Romagnol	False	https://en.wikipedia.org/wiki/Emilian-Romagnol_language	http://www.wikidata.org/entity/Q242648
en	English	False	https://en.wikipedia.org/wiki/English_language	http://www.wikidata.org/entity/Q1860
en-ca	Canadian English	True	https://en.wikipedia.org/wiki/Canadian_English	http://www.wikidata.org/entity/Q44676
en-gb	British English	True	https://en.wikipedia.org/wiki/British_English	http://www.wikidata.org/entity/Q7979
en-simple	Simple English	True	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q21480034
en-us	American English	True	https://en.wikipedia.org/wiki/American_English	http://www.wikidata.org/entity/Q7976
en-x-simple	Simple English	True	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q21480034
enm	Middle English	False	https://en.wikipedia.org/wiki/Middle_English	http://www.wikidata.org/entity/Q36395
eo	Esperanto	False	https://en.wikipedia.org/wiki/Esperanto	http://www.wikidata.org/entity/Q143
eo-hsistemo	System H	True	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q3505590
eo-xsistemo	System X	True	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q3497763
es	Spanish	False	https://en.wikipedia.org/wiki/Spanish_language	http://www.wikidata.org/entity/Q1321
es-419	Latin American Spanish	True	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q56649449
es-formal	formal Spanish	True	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q64427343
esu	Central Alaskan Yup'ik	False	https://en.wikipedia.org/wiki/Central_Alaskan_Yup'ik_language	http://www.wikidata.org/entity/Q21117
et	Estonian	False	https://en.wikipedia.org/wiki/Estonian_language	http://www.wikidata.org/entity/Q9072
ett	Etruscan	False	https://en.wikipedia.org/wiki/Etruscan_language	http://www.wikidata.org/entity/Q35726
eu	Basque	False	https://en.wikipedia.org/wiki/Basque_language	http://www.wikidata.org/entity/Q8752
ext	Extremaduran	False	https://en.wikipedia.org/wiki/Extremaduran_language	http://www.wikidata.org/entity/Q30007
eya	Eyak	False	https://en.wikipedia.org/wiki/Eyak_language	http://www.wikidata.org/entity/Q27480
fa	Persian	False	https://en.wikipedia.org/wiki/Persian_language	http://www.wikidata.org/entity/Q9168
fa-af	Dari	True	https://en.wikipedia.org/wiki/Dari	http://www.wikidata.org/entity/Q178440
ff	Fula	False	https://en.wikipedia.org/wiki/Fula_language	http://www.wikidata.org/entity/Q33454
fi	Finnish	False	https://en.wikipedia.org/wiki/Finnish_language	http://www.wikidata.org/entity/Q1412
fit	Meänkieli	False	https://en.wikipedia.org/wiki/Meänkieli	http://www.wikidata.org/entity/Q13357
fiu-vro	Võro	True	https://en.wikipedia.org/wiki/Võro_language	http://www.wikidata.org/entity/Q32762
fj	Fijian	False	https://en.wikipedia.org/wiki/Fijian_language	http://www.wikidata.org/entity/Q33295
fkv	Kven	False	https://en.wikipedia.org/wiki/Kven_language	http://www.wikidata.org/entity/Q165795
fo	Faroese	False	https://en.wikipedia.org/wiki/Faroese_language	http://www.wikidata.org/entity/Q25258
fon	Fon	False	https://en.wikipedia.org/wiki/Fon_language	http://www.wikidata.org/entity/Q33291
fos	Siraya	False	https://en.wikipedia.org/wiki/Siraya_language	http://www.wikidata.org/entity/Q716604
fr	French	False	https://en.wikipedia.org/wiki/French_language	http://www.wikidata.org/entity/Q150
fr-ca	Canadian French	True	https://en.wikipedia.org/wiki/Canadian_French	http://www.wikidata.org/entity/Q1450506
frc	Louisiana French	False	https://en.wikipedia.org/wiki/Louisiana_French	http://www.wikidata.org/entity/Q3083213
frm	Middle French	False	https://en.wikipedia.org/wiki/Middle_French	http://www.wikidata.org/entity/Q1473289
fro	Old French	False	https://en.wikipedia.org/wiki/Old_French	http://www.wikidata.org/entity/Q35222
frp	Franco-Provençal	False	https://en.wikipedia.org/wiki/Franco-Provençal	http://www.wikidata.org/entity/Q15087
frr	North Frisian	False	https://en.wikipedia.org/wiki/North_Frisian_language	http://www.wikidata.org/entity/Q28224
fuf	Pular	False	https://en.wikipedia.org/wiki/Pular_language	http://www.wikidata.org/entity/Q3915357
fur	Friulian	False	https://en.wikipedia.org/wiki/Friulian_language	http://www.wikidata.org/entity/Q33441
fy	West Frisian	False	https://en.wikipedia.org/wiki/West_Frisian_language	http://www.wikidata.org/entity/Q27175
ga	Irish	False	https://en.wikipedia.org/wiki/Irish_language	http://www.wikidata.org/entity/Q9142
gaa	Ga	False	https://en.wikipedia.org/wiki/Ga_language	http://www.wikidata.org/entity/Q33287
gag	Gagauz	False	https://en.wikipedia.org/wiki/Gagauz_language	http://www.wikidata.org/entity/Q33457
gan	Gan	False	https://en.wikipedia.org/wiki/Gan_Chinese	http://www.wikidata.org/entity/Q33475
gan-hans	simplified Gan	True	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q64427344
gan-hant	traditional Gan	True	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q64427346
gcf	Guadeloupe-Martinique Creole French	False	https://en.wikipedia.org/wiki/Guadeloupe_Creole	http://www.wikidata.org/entity/Q3006280
gcr	Guianan Creole	False	https://en.wikipedia.org/wiki/French_Guianese_Creole	http://www.wikidata.org/entity/Q1363072
gd	Scottish Gaelic	False	https://en.wikipedia.org/wiki/Scottish_Gaelic	http://www.wikidata.org/entity/Q9314
gez	Ge'ez	False	https://en.wikipedia.org/wiki/Geʽez	http://www.wikidata.org/entity/Q35667
gil	Gilbertese	False	https://en.wikipedia.org/wiki/Gilbertese_language	http://www.wikidata.org/entity/Q30898
gkm	Medieval Greek	False	https://en.wikipedia.org/wiki/Medieval_Greek	http://www.wikidata.org/entity/Q36387
gl	Galician	False	https://en.wikipedia.org/wiki/Galician_language	http://www.wikidata.org/entity/Q9307
glk	Gilaki	False	https://en.wikipedia.org/wiki/Gilaki_language	http://www.wikidata.org/entity/Q33657
gmh	Middle High German	False	https://en.wikipedia.org/wiki/Middle_High_German	http://www.wikidata.org/entity/Q837985
gml	Middle Low German	False	https://en.wikipedia.org/wiki/Middle_Low_German	http://www.wikidata.org/entity/Q505674
gn	Guarani	False	https://en.wikipedia.org/wiki/Guarani_language	http://www.wikidata.org/entity/Q35876
goh	Old High German	False	https://en.wikipedia.org/wiki/Old_High_German	http://www.wikidata.org/entity/Q35218
gom	Goan Konkani	False	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q5575236
gom-deva	Goan Konkani in Devanagari script	True	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q64362984
gom-latn	Goan Konkani in Latin script	True	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q64362985
gor	Gorontalo	False	https://en.wikipedia.org/wiki/Gorontalo_language	http://www.wikidata.org/entity/Q2501174
got	Gothic	False	https://en.wikipedia.org/wiki/Gothic_language	http://www.wikidata.org/entity/Q35722
grc	Ancient Greek	False	https://en.wikipedia.org/wiki/Ancient_Greek	http://www.wikidata.org/entity/Q35497
gsg	German Sign Language	False	https://en.wikipedia.org/wiki/German_Sign_Language	http://www.wikidata.org/entity/Q33282
gsw	Alemannic	False	https://en.wikipedia.org/wiki/Alemannic_German	http://www.wikidata.org/entity/Q131339
gsw-fr	Alsatian	True	https://en.wikipedia.org/wiki/Alsatian_dialect	http://www.wikidata.org/entity/Q8786
gu	Gujarati	False	https://en.wikipedia.org/wiki/Gujarati_language	http://www.wikidata.org/entity/Q5137
guc	Wayuu	False	https://en.wikipedia.org/wiki/Wayuu_language	http://www.wikidata.org/entity/Q891085
guw	Gun	False	https://en.wikipedia.org/wiki/Gun_language	http://www.wikidata.org/entity/Q3111668
gv	Manx	False	https://en.wikipedia.org/wiki/Manx_language	http://www.wikidata.org/entity/Q12175
ha	Hausa	False	https://en.wikipedia.org/wiki/Hausa_language	http://www.wikidata.org/entity/Q56475
hai	Haida	False	https://en.wikipedia.org/wiki/Haida_language	http://www.wikidata.org/entity/Q33303
hak	Hakka	False	https://en.wikipedia.org/wiki/Hakka_Chinese	http://www.wikidata.org/entity/Q33375
haw	Hawaiian	False	https://en.wikipedia.org/wiki/Hawaiian_language	http://www.wikidata.org/entity/Q33569
hbo	Biblical Hebrew	False	https://en.wikipedia.org/wiki/Biblical_Hebrew	http://www.wikidata.org/entity/Q1982248
he	Hebrew	False	https://en.wikipedia.org/wiki/Hebrew_language	http://www.wikidata.org/entity/Q9288
hi	Hindi	False	https://en.wikipedia.org/wiki/Hindi	http://www.wikidata.org/entity/Q1568
hif	Fiji Hindi	False	https://en.wikipedia.org/wiki/Fiji_Hindi	http://www.wikidata.org/entity/Q46728
hif-latn	Fiji Hindi in Latin script	True	https://en.wikipedia.org/wiki/	http://www.wikidata.org/entity/Q64362986
hil	Hiligaynon	False	https://en.wikipedia.org/wiki/Hiligaynon_language	http://www.wikidata.org/entity/Q35978
